Date,Price
2020-01-16,0.965251
2020-01-17,0.966236
2020-01-20,0.966259
2020-01-21,0.968308
2020-01-22,0.968633
2020-01-23,0.971885
2020-01-24,0.968498
2020-01-27,0.969901
2020-01-28,0.970602
2020-01-29,0.971513
2020-01-30,0.971823
2020-01-31,0.971696
2020-02-03,0.971905
2020-02-04,0.972672
2020-02-05,0.973124
2020-02-06,0.973431
2020-02-07,0.974786
2020-02-10,0.975661
2020-02-11,0.976562
2020-02-12,0.975746
2020-02-13,0.973502
2020-02-14,0.972271
2020-02-17,0.972239
2020-02-18,0.970399
2020-02-19,0.971217
2020-02-20,0.96654
2020-02-21,0.966032
2020-02-26,0.962562
2020-02-27,0.957477
2020-02-28,0.955067
2020-03-02,0.957003
2020-03-03,0.959434
2020-03-04,0.959992
2020-03-05,0.961159
2020-03-06,0.960676
2020-03-09,0.94928
2020-03-10,0.945827
2020-03-11,0.940933
2020-03-12,0.935854
2020-03-13,0.933971
2020-03-16,0.922595
2020-03-17,0.914233
2020-03-18,0.905598
2020-03-19,0.875722
2020-03-20,0.879386
2020-03-25,0.871345
2020-03-26,0.871673
2020-03-27,0.868453
2020-03-30,0.867921
2020-04-01,0.86993
2020-04-02,0.861976
2020-04-03,0.862969
2020-04-06,0.863325
2020-04-07,0.861241
2020-04-08,0.86509
2020-04-13,0.865383
2020-04-14,0.858006
2020-04-15,0.856617
2020-04-16,0.854049
2020-04-17,0.845918
2020-04-20,0.846041
2020-04-21,0.844769
2020-04-22,0.842517
2020-04-23,0.842621
2020-04-24,0.839152
2020-04-27,0.835153
2020-04-28,0.840073
2020-04-29,0.842957
2020-04-30,0.841638
2020-05-04,0.843835
2020-05-05,0.834962
2020-05-06,0.835844
2020-05-07,0.837597
2020-05-08,0.838567
2020-05-11,0.841067
2020-05-12,0.841499
2020-05-13,0.845003
2020-05-14,0.845208
2020-05-15,0.849219
2020-05-18,0.86481
2020-05-19,0.859804
2020-05-20,0.859191
2020-05-21,0.862182
2020-05-22,0.864757
2020-05-26,0.86979
2020-05-27,0.872877
2020-05-28,0.874114
2020-05-29,0.875844
2020-06-01,0.877356
2020-06-02,0.875
2020-06-03,0.879107
2020-06-04,0.886175
2020-06-05,0.892028
2020-06-08,0.895325
2020-06-09,0.897936
2020-06-10,0.907345
2020-06-11,0.903217
2020-06-12,0.901129
2020-06-16,0.89717
2020-06-17,0.898807
2020-06-18,0.901489
2020-06-19,0.90125
2020-06-22,0.903033
2020-06-23,0.903982
2020-06-24,0.906912
2020-06-25,0.906753
2020-06-26,0.906007
2020-06-29,0.910646
2020-06-30,0.913318
2020-07-01,0.916958
2020-07-02,0.916958
2020-07-03,0.917951
2020-07-06,0.918389
2020-07-07,0.924333
2020-07-08,0.929118
2020-07-13,0.935425
2020-07-14,0.942371
2020-07-15,0.942037
2020-07-16,0.942279
2020-07-17,0.944115
2020-07-20,0.947403
2020-07-21,0.951522
2020-07-22,0.954298
2020-07-23,0.956564
2020-07-24,0.957829
2020-07-27,0.961401
2020-07-28,0.962033
2020-07-29,0.964762
2020-07-30,0.970619
2020-07-31,0.971225
2020-08-03,0.972485
2020-08-04,0.977212
2020-08-05,0.983624
2020-08-06,0.987452
2020-08-07,0.988931
2020-08-10,0.990114
2020-08-11,0.991927
2020-08-12,0.989689
2020-08-13,0.988835
2020-08-14,0.989601
2020-08-18,0.98913
2020-08-19,0.988735
2020-08-20,0.990325
2020-08-21,0.99014
2020-08-24,0.988094
2020-08-25,0.988062
2020-08-26,0.986317
2020-08-27,0.988151
2020-08-28,0.988622
2020-08-31,0.988823
2020-09-01,0.990538
2020-09-02,0.991985
2020-09-03,0.992222
2020-09-04,0.99356
2020-09-07,0.993857
2020-09-08,0.993424
2020-09-09,0.991236
2020-09-10,0.990759
2020-09-11,0.990406
2020-09-14,0.989465
2020-09-15,0.987514
2020-09-16,0.93952
2020-09-17,0.937228
2020-09-18,0.938295
2020-09-21,0.936482
2020-09-22,0.934621
2020-09-23,0.928354
2020-09-24,0.923193
2020-09-25,0.923884
2020-09-28,0.929913
2020-09-29,0.930945
2020-09-30,0.933616
2020-10-01,0.9389
2020-10-02,0.939716
2020-10-05,0.939268
2020-10-06,0.9378
2020-10-07,0.937384
2020-10-08,0.938537
2020-10-09,0.943223
2020-10-13,0.944289
2020-10-14,0.942924
2020-10-15,0.941532
2020-10-16,0.941962
2020-10-19,0.940856
2020-10-20,0.942208
2020-10-21,0.941226
2020-10-22,0.939235
2020-10-23,0.940173
2020-10-26,0.939696
2020-10-27,0.938316
2020-10-28,0.936875
2020-10-29,0.935382
2020-10-30,0.934687
2020-11-02,0.933579
2020-11-03,0.934486
2020-11-04,0.936232
2020-11-05,0.936503
2020-11-09,0.941238
2020-11-10,0.947175
2020-11-11,0.94814
2020-11-12,0.954882
2020-11-13,0.956087
2020-11-16,0.961992
2020-11-17,0.963986
2020-11-18,0.971025
2020-11-19,0.974189
2020-11-20,0.973142
2020-11-24,0.974798
2020-11-25,0.97739
2020-11-26,0.977827
2020-11-27,0.977376
2020-11-30,0.977745
2020-12-01,0.980406
2020-12-02,0.982229
2020-12-03,0.98345
2020-12-04,0.98541
2020-12-09,0.987143
2020-12-10,0.987631
2020-12-11,0.988822
2020-12-14,0.990221
2020-12-15,0.992194
2020-12-16,0.992407
2020-12-17,0.993022
2020-12-18,0.993925
2020-12-21,0.99059
2020-12-22,0.991204
2020-12-23,0.989435
2020-12-28,0.989314
2020-12-29,0.990003
2020-12-30,0.988571
