Date,Price
2016-08-18,1
2016-08-19,1.002652
2016-08-22,1.001344
2016-08-23,1.007496
2016-08-24,1.011746
2016-08-25,1.014066
2016-08-26,1.011345
2016-08-29,1.017944
2016-08-30,1.015983
2016-08-31,1.008295
2016-09-01,1.014992
2016-09-02,1.025296
2016-09-05,1.028809
2016-09-06,1.045939
2016-09-07,1.045755
2016-09-08,1.050246
2016-09-09,1.036881
2016-09-12,1.038153
2016-09-13,1.027799
2016-09-14,1.037787
2016-09-15,1.044526
2016-09-16,1.047572
2016-09-19,1.052348
2016-09-20,1.057155
2016-09-21,1.066912
2016-09-22,1.080478
2016-09-23,1.085741
2016-09-26,1.083037
2016-09-27,1.082954
2016-09-28,1.098707
2016-09-29,1.119653
2016-09-30,1.120611
2016-10-03,1.120177
2016-10-04,1.119497
2016-10-05,1.125233
2016-10-06,1.126805
2016-10-07,1.131141
2016-10-11,1.134328
2016-10-12,1.13684
2016-10-13,1.137129
2016-10-14,1.14493
2016-10-17,1.149669
2016-10-18,1.154817
2016-10-19,1.164917
2016-10-20,1.170226
2016-10-21,1.182119
2016-10-24,1.188294
2016-10-25,1.18839
2016-10-26,1.178833
2016-10-27,1.172582
2016-10-28,1.173993
2016-10-31,1.16421
2016-11-01,1.136887
2016-11-02,1.132901
2016-11-03,1.131679
2016-11-04,1.131525
2016-11-07,1.146141
2016-11-08,1.142376
2016-11-09,1.140249
2016-11-10,1.100336
2016-11-11,1.067663
2016-11-14,1.059482
2016-11-15,1.112384
2016-11-16,1.123862
2016-11-17,1.123342
2016-11-18,1.123357
2016-11-21,1.14004
2016-11-22,1.164684
2016-11-23,1.169062
2016-11-24,1.178021
2016-11-25,1.172474
2016-11-29,1.165066
2016-11-30,1.17443
2016-12-01,1.153487
2016-12-02,1.150165
2016-12-05,1.153236
2016-12-06,1.171271
2016-12-07,1.179328
2016-12-12,1.176256
2016-12-13,1.181807
2016-12-14,1.168928
2016-12-15,1.157099
2016-12-16,1.141239
2016-12-19,1.103724
2016-12-20,1.105261
2016-12-21,1.139097
2016-12-22,1.133423
2016-12-23,1.129963
2016-12-26,1.118852
2016-12-27,1.141822
2016-12-28,1.166486
2016-12-29,1.196227
2017-01-02,1.219263
2017-01-03,1.237913
2017-01-04,1.257713
2017-01-05,1.263772
2017-01-06,1.273375
2017-01-09,1.284037
2017-01-10,1.295321
