Date,Price
2013-01-04,1
2013-01-07,1.002153
2013-01-08,1.002835
2013-01-09,1.006629
2013-01-10,1.007033
2013-01-11,1.006852
2013-01-14,1.007346
2013-01-15,1.00794
2013-01-16,1.008377
2013-01-17,1.00956
2013-01-18,1.010092
2013-01-21,1.010792
2013-01-22,1.011145
2013-01-23,1.011525
2013-01-24,1.012081
2013-01-25,1.013545
2013-01-28,1.013761
2013-01-29,1.014074
2013-01-30,1.014553
2013-02-01,1.015787
2013-02-04,1.016356
2013-02-05,1.016734
2013-02-06,1.017557
2013-02-07,1.017881
2013-02-08,1.019235
2013-02-13,1.020297
2013-02-14,1.02068
2013-02-15,1.021489
2013-02-18,1.021964
2013-02-19,1.024113
2013-02-21,1.025058
2013-02-22,1.026122
2013-02-25,1.026456
2013-02-26,1.026436
2013-02-27,1.027968
2013-02-28,1.030762
2013-03-01,1.03204
2013-03-04,1.032164
2013-03-05,1.03257
2013-03-06,1.034302
2013-03-07,1.03767
2013-03-08,1.038365
2013-03-11,1.039665
2013-03-12,1.039869
2013-03-13,1.040267
2013-03-14,1.040406
2013-03-15,1.041642
2013-03-18,1.041953
2013-03-19,1.042436
2013-03-20,1.042875
2013-03-21,1.044098
2013-03-22,1.045729
2013-03-25,1.047308
2013-03-26,1.047136
2013-03-27,1.049036
2013-04-03,1.04944
2013-04-04,1.050285
2013-04-05,1.051754
2013-04-08,1.052448
2013-04-09,1.052964
2013-04-10,1.053487
2013-04-11,1.053905
2013-04-12,1.055066
2013-04-15,1.055247
2013-04-16,1.056088
2013-04-17,1.057713
2013-04-18,1.059153
2013-04-19,1.060235
2013-04-22,1.060472
2013-04-23,1.060904
2013-04-24,1.061413
2013-04-25,1.061802
2013-04-26,1.063005
2013-04-29,1.063353
2013-04-30,1.06432
2013-05-02,1.064949
2013-05-03,1.066024
2013-05-06,1.066544
2013-05-07,1.066988
2013-05-08,1.067754
2013-05-09,1.068457
2013-05-10,1.069689
2013-05-13,1.070312
2013-05-14,1.070805
2013-05-15,1.071683
2013-05-16,1.072454
2013-05-17,1.073895
2013-05-20,1.074335
2013-05-21,1.074812
2013-05-22,1.073944
2013-05-23,1.074462
2013-05-24,1.075861
2013-05-27,1.076309
2013-05-28,1.076781
2013-05-29,1.07729
2013-05-30,1.077764
