Date,Price
2013-09-16,1
2013-09-17,1
2013-09-18,1
2013-09-19,1.00002
2013-09-20,1.000041
2013-09-23,1.00011
2013-09-24,1.000133
2013-09-25,1.000156
2013-09-26,1.000179
2013-09-27,1.00021
2013-09-30,1.000277
2013-10-01,1.00019
2013-10-02,0.998323
2013-10-03,0.998459
2013-10-04,0.998952
2013-10-07,0.998977
2013-10-08,0.999115
2013-10-09,0.999244
2013-10-10,0.999372
2013-10-11,1.000045
2013-10-15,1.000012
2013-10-16,1.000158
2013-10-17,1.000289
2013-10-18,1.000784
2013-10-21,1.000831
2013-10-22,1.000965
2013-10-23,1.001098
2013-10-24,1.00123
2013-10-25,1.001728
2013-10-28,1.001769
2013-10-29,1.001813
2013-10-30,1.001828
2013-10-31,1.001922
2013-11-01,1.002045
2013-11-04,1.002081
2013-11-05,1.002159
2013-11-07,1.002128
2013-11-08,1.002199
2013-11-11,1.002243
2013-11-12,1.002306
2013-11-13,1.002367
2013-11-14,1.0025
2013-11-15,1.002766
2013-11-18,1.002803
2013-11-19,1.002943
2013-11-20,1.003663
2013-11-21,1.003811
2013-11-22,1.004501
2013-11-26,1.013276
2013-11-27,0.999824
2013-11-28,1.001132
2013-11-29,1.002856
2013-12-02,1.002827
2013-12-03,1.004654
2013-12-04,1.006447
2013-12-05,1.008732
2013-12-06,1.011688
2013-12-09,1.014139
2013-12-10,1.014089
2013-12-11,1.013937
2013-12-12,1.013776
2013-12-13,1.014314
2013-12-16,1.01421
2013-12-17,1.015439
2013-12-18,1.016212
2013-12-19,1.01671
2013-12-20,1.01777
2013-12-23,1.019371
2013-12-26,1.023972
2013-12-27,1.026057
2013-12-30,1.027986
2014-01-02,1.030146
2014-01-03,1.032654
2014-01-06,1.034773
2014-01-07,1.036367
2014-01-08,1.042676
2014-01-09,1.044436
2014-01-10,1.047099
2014-01-13,1.048923
2014-01-14,1.051028
2014-01-15,1.053439
2014-01-16,1.055645
2014-01-17,1.062062
2014-01-20,1.064333
2014-01-21,1.064209
2014-01-22,1.067611
2014-01-23,1.072288
2014-01-24,1.091412
2014-01-27,1.117878
2014-01-28,1.143525
2014-01-29,1.155223
2014-01-30,1.155441
2014-01-31,1.156512
2014-02-03,1.156767
2014-02-04,1.157192
2014-02-05,1.15691
2014-02-06,1.155606
2014-02-07,1.153954
2014-02-10,1.15128
2014-02-11,1.148467
2014-02-12,1.146949
2014-02-13,1.14661
2014-02-14,1.14644
2014-02-17,1.146529
2014-02-18,1.146776
2014-02-19,1.144493
2014-02-20,1.144685
2014-02-21,1.147293
2014-02-24,1.151466
2014-02-25,1.149149
2014-02-26,1.150166
2014-02-27,1.133177
2014-02-28,1.135133
2014-03-05,1.136047
2014-03-06,1.136493
2014-03-07,1.136914
2014-03-10,1.13753
2014-03-11,1.138208
2014-03-12,1.13868
2014-03-13,1.139444
2014-03-14,1.140651
2014-03-17,1.142073
2014-03-18,1.142616
2014-03-19,1.143916
2014-03-20,1.144462
2014-03-21,1.13105
2014-03-25,1.130182
2014-03-26,1.133755
2014-03-27,1.134822
2014-03-28,1.136567
