Date,Price
2016-07-27,1
2016-07-28,1.000187
2016-07-29,1.002698
2016-08-01,1.003949
2016-08-02,1.005168
2016-08-03,1.006158
2016-08-04,1.007273
2016-08-05,1.009656
2016-08-08,1.010237
2016-08-09,1.010014
2016-08-10,1.011318
2016-08-11,1.012366
2016-08-12,1.014398
2016-08-16,1.015152
2016-08-17,1.015919
2016-08-18,1.016505
2016-08-19,1.017888
2016-08-22,1.018344
2016-08-23,1.018842
2016-08-24,1.019498
2016-08-25,1.019296
2016-08-26,1.021301
2016-08-29,1.022309
2016-08-30,1.023901
2016-08-31,1.024417
2016-09-01,1.02552
2016-09-02,1.027905
2016-09-05,1.028878
2016-09-06,1.030333
2016-09-07,1.031025
2016-09-08,1.031818
2016-09-09,1.033517
2016-09-12,1.033586
2016-09-13,1.033377
2016-09-14,1.034873
2016-09-15,1.035937
2016-09-16,1.037991
2016-09-19,1.038789
2016-09-20,1.039729
2016-09-21,1.041211
2016-09-22,1.042927
2016-09-23,1.045957
2016-09-26,1.046543
2016-09-27,1.04805
2016-09-28,1.049624
2016-09-29,1.050771
2016-09-30,1.052382
2016-10-03,1.053718
2016-10-04,1.054085
2016-10-05,1.055403
2016-10-06,1.056386
2016-10-07,1.057971
2016-10-11,1.059256
2016-10-12,1.059339
2016-10-13,1.060031
2016-10-14,1.061315
2016-10-17,1.062541
2016-10-18,1.062573
2016-10-19,1.063812
2016-10-20,1.064227
2016-10-21,1.066188
2016-10-24,1.066399
2016-10-25,1.067792
2016-10-26,1.069042
2016-10-27,1.069595
2016-10-28,1.070992
2016-10-31,1.072034
2016-11-01,1.072579
2016-11-02,1.073524
2016-11-03,1.074058
2016-11-04,1.075039
2016-11-07,1.075405
2016-11-08,1.076307
2016-11-09,1.076951
2016-11-10,1.076481
2016-11-11,1.076577
2016-11-14,1.076469
2016-11-15,1.077829
2016-11-16,1.080504
2016-11-17,1.081721
2016-11-18,1.083224
2016-11-21,1.083359
2016-11-22,1.084188
2016-11-23,1.085825
2016-11-24,1.086745
2016-11-25,1.089083
2016-11-29,1.089808
2016-11-30,1.092258
2016-12-01,1.091863
2016-12-02,1.093693
2016-12-05,1.095551
2016-12-06,1.095882
2016-12-07,1.099078
2016-12-12,1.099451
2016-12-13,1.100011
2016-12-14,1.101103
2016-12-15,1.101404
2016-12-16,1.103465
2016-12-19,1.103573
2016-12-20,1.104354
2016-12-21,1.105575
2016-12-22,1.105848
2016-12-23,1.108504
2016-12-26,1.107585
2016-12-27,1.109
2016-12-28,1.109837
2016-12-29,1.110969
2017-01-02,1.113829
2017-01-03,1.114069
2017-01-04,1.116023
2017-01-05,1.116397
2017-01-06,1.118186
2017-01-09,1.118779
2017-01-10,1.118464
2017-01-11,1.119437
2017-01-12,1.119821
2017-01-13,1.122221
2017-01-16,1.123351
2017-01-17,1.124208
2017-01-18,1.125167
2017-01-19,1.125727
2017-01-20,1.126513
2017-01-23,1.127246
2017-01-24,1.128408
2017-01-25,1.129506
2017-01-26,1.130042
2017-01-27,1.131811
2017-01-30,1.132423
2017-01-31,1.133022
2017-02-01,1.133807
2017-02-02,1.134401
2017-02-03,1.136133
2017-02-06,1.136333
2017-02-07,1.138013
2017-02-08,1.138987
2017-02-09,1.139846
2017-02-10,1.140674
2017-02-13,1.141059
2017-02-14,1.141606
2017-02-15,1.142914
2017-02-16,1.143604
2017-02-17,1.145867
2017-02-20,1.14619
2017-02-21,1.146951
2017-02-22,1.147902
2017-02-23,1.148676
2017-02-24,1.152831
2017-03-01,1.153745
2017-03-02,1.155218
2017-03-03,1.157186
2017-03-06,1.158208
2017-03-07,1.159028
2017-03-08,1.160909
2017-03-09,1.161362
2017-03-10,1.162939
2017-03-13,1.163817
2017-03-14,1.164066
2017-03-15,1.165103
2017-03-16,1.16574
2017-03-17,1.167413
2017-03-20,1.168087
2017-03-21,1.169051
2017-03-22,1.169596
2017-03-23,1.17152
2017-03-27,1.171587
2017-03-28,1.172033
2017-03-29,1.171907
2017-03-30,1.172299
2017-03-31,1.173922
2017-04-03,1.174806
2017-04-04,1.17541
2017-04-05,1.176927
2017-04-06,1.177432
2017-04-07,1.179184
2017-04-10,1.179738
2017-04-11,1.180542
2017-04-12,1.182154
2017-04-17,1.182607
2017-04-18,1.183225
2017-04-19,1.184447
2017-04-20,1.185034
2017-04-21,1.186593
2017-04-24,1.186743
2017-04-25,1.187131
2017-04-26,1.188429
2017-04-27,1.18847
2017-04-28,1.190223
2017-05-02,1.189346
2017-05-03,1.189791
2017-05-04,1.19009
2017-05-05,1.191739
2017-05-08,1.193357
2017-05-09,1.193633
2017-05-10,1.194713
2017-05-11,1.194941
2017-05-12,1.19651
2017-05-15,1.197858
2017-05-16,1.197926
2017-05-17,1.198209
2017-05-18,1.202192
2017-05-19,1.204193
2017-05-22,1.206493
2017-05-23,1.206099
2017-05-24,1.207186
2017-05-26,1.20753
2017-05-29,1.208025
2017-05-30,1.209804
2017-05-31,1.210103
2017-06-01,1.209866
2017-06-02,1.210352
2017-06-05,1.210829
2017-06-06,1.211609
2017-06-07,1.212286
2017-06-08,1.21194
2017-06-09,1.212313
2017-06-12,1.212897
2017-06-13,1.212853
2017-06-14,1.213139
2017-06-15,1.214596
2017-06-16,1.216272
2017-06-19,1.218237
2017-06-21,1.220693
2017-06-22,1.220673
2017-06-23,1.22214
2017-06-26,1.223748
2017-06-27,1.224998
2017-06-28,1.225992
2017-06-29,1.227497
2017-06-30,1.230219
2017-07-03,1.231975
2017-07-04,1.233883
2017-07-05,1.235889
2017-07-06,1.236548
2017-07-07,1.236557
2017-07-10,1.237498
2017-07-11,1.237296
2017-07-12,1.237725
2017-07-13,1.238284
2017-07-14,1.238795
2017-07-17,1.239094
2017-07-18,1.241462
2017-07-19,1.241672
2017-07-20,1.242398
2017-07-21,1.24558
2017-07-24,1.246574
2017-07-25,1.247591
2017-07-26,1.248844
2017-07-27,1.250235
2017-07-28,1.252645
2017-07-31,1.252807
2017-08-01,1.253121
2017-08-02,1.253908
2017-08-03,1.255137
2017-08-04,1.256853
2017-08-07,1.257381
2017-08-08,1.258744
2017-08-09,1.259875
2017-08-10,1.260338
2017-08-11,1.26178
2017-08-14,1.261371
2017-08-15,1.261644
2017-08-16,1.264231
2017-08-17,1.265214
2017-08-18,1.26629
2017-08-22,1.266368
2017-08-23,1.266471
2017-08-24,1.266976
2017-08-25,1.268708
2017-08-28,1.269453
2017-08-29,1.269001
2017-08-30,1.270827
2017-08-31,1.271134
2017-09-01,1.271927
2017-09-04,1.272826
2017-09-05,1.273002
2017-09-06,1.273453
2017-09-07,1.274076
2017-09-08,1.273811
2017-09-11,1.274125
2017-09-12,1.274495
2017-09-13,1.275418
2017-09-14,1.277151
2017-09-15,1.278371
2017-09-18,1.279925
2017-09-19,1.28102
2017-09-20,1.282618
2017-09-21,1.284785
2017-09-22,1.285674
2017-09-25,1.288051
2017-09-26,1.289063
2017-09-27,1.289079
2017-09-28,1.289885
2017-09-29,1.291773
2017-10-02,1.292848
2017-10-03,1.29474
2017-10-04,1.295192
2017-10-05,1.297529
2017-10-06,1.299567
2017-10-09,1.300558
2017-10-10,1.301243
2017-10-11,1.301884
2017-10-12,1.303589
2017-10-13,1.304788
2017-10-17,1.306073
2017-10-18,1.307734
2017-10-19,1.309296
2017-10-20,1.311701
2017-10-23,1.312559
2017-10-24,1.314075
2017-10-25,1.31481
2017-10-26,1.315992
2017-10-27,1.315904
2017-10-30,1.317126
2017-10-31,1.317355
2017-11-01,1.317222
2017-11-02,1.318015
2017-11-03,1.320663
2017-11-07,1.321845
2017-11-08,1.321093
2017-11-09,1.32201
2017-11-10,1.323066
2017-11-13,1.323829
2017-11-14,1.324611
2017-11-15,1.32606
2017-11-16,1.32962
2017-11-17,1.33334
2017-11-21,1.334731
2017-11-22,1.335163
2017-11-23,1.337113
2017-11-24,1.338106
2017-11-27,1.338628
2017-11-28,1.339772
2017-11-29,1.340022
2017-11-30,1.341136
2017-12-01,1.342668
2017-12-04,1.344261
2017-12-05,1.344689
2017-12-06,1.346434
2017-12-07,1.347679
2017-12-11,1.348505
2017-12-12,1.348877
2017-12-13,1.349974
2017-12-14,1.352565
2017-12-15,1.355082
2017-12-18,1.356072
2017-12-19,1.357821
2017-12-20,1.358515
2017-12-21,1.361207
2017-12-22,1.364037
2017-12-26,1.366493
2017-12-27,1.368685
2017-12-28,1.37527
2017-12-29,1.377002
2018-01-02,1.377171
2018-01-03,1.378012
2018-01-04,1.382527
2018-01-05,1.385347
2018-01-08,1.386217
2018-01-09,1.386802
2018-01-10,1.385506
2018-01-11,1.388367
2018-01-12,1.390354
2018-01-15,1.391657
2018-01-16,1.393169
2018-01-17,1.393826
2018-01-18,1.396928
2018-01-19,1.399249
2018-01-22,1.401577
2018-01-23,1.403656
2018-01-24,1.405857
2018-01-25,1.407044
2018-01-26,1.409457
2018-01-29,1.410804
2018-01-30,1.411862
2018-01-31,1.41301
2018-02-01,1.413509
2018-02-02,1.415312
2018-02-05,1.415346
2018-02-06,1.416928
2018-02-07,1.418479
2018-02-08,1.421933
2018-02-09,1.424651
2018-02-14,1.424743
2018-02-15,1.425743
2018-02-16,1.428157
2018-02-19,1.430335
2018-02-20,1.431505
2018-02-21,1.433341
2018-02-22,1.435866
2018-02-23,1.437937
2018-02-26,1.440369
2018-02-27,1.440986
2018-02-28,1.441154
2018-03-01,1.443375
2018-03-02,1.445156
2018-03-05,1.445647
2018-03-06,1.44848
2018-03-07,1.449688
2018-03-08,1.4518
2018-03-09,1.453416
2018-03-12,1.454029
2018-03-13,1.45514
2018-03-14,1.456349
2018-03-15,1.457951
2018-03-16,1.460501
2018-03-19,1.460992
2018-03-20,1.462812
2018-03-21,1.464073
2018-03-22,1.466547
2018-03-23,1.468382
2018-03-26,1.470057
2018-03-27,1.472904
2018-03-28,1.477424
2018-04-03,1.47901
2018-04-04,1.480323
2018-04-05,1.480326
2018-04-06,1.482055
2018-04-09,1.481855
2018-04-10,1.48283
2018-04-11,1.484134
2018-04-12,1.48535
2018-04-13,1.48836
2018-04-16,1.488133
2018-04-17,1.487651
2018-04-18,1.488165
2018-04-19,1.489046
2018-04-20,1.490545
2018-04-23,1.491239
2018-04-24,1.491244
2018-04-25,1.490816
2018-04-26,1.492424
2018-04-27,1.490178
2018-05-02,1.491091
2018-05-03,1.494161
2018-05-04,1.486543
2018-05-07,1.481961
2018-05-08,1.475386
2018-05-09,1.473546
2018-05-10,1.474956
2018-05-11,1.46791
2018-05-14,1.465117
2018-05-15,1.463889
2018-05-16,1.469236
2018-05-17,1.472961
2018-05-18,1.476593
2018-05-21,1.478858
2018-05-22,1.48122
2018-05-23,1.483496
2018-05-24,1.48613
2018-05-28,1.488127
2018-05-29,1.488427
2018-05-30,1.486931
2018-05-31,1.485155
2018-06-01,1.486042
2018-06-04,1.481144
2018-06-05,1.481565
2018-06-06,1.483482
2018-06-07,1.485487
2018-06-08,1.487508
2018-06-11,1.491473
2018-06-12,1.489974
2018-06-13,1.491757
2018-06-14,1.496856
2018-06-15,1.496991
2018-06-18,1.492258
2018-06-19,1.489983
2018-06-21,1.493513
2018-06-22,1.492116
2018-06-25,1.486787
2018-06-26,1.487401
2018-06-27,1.487055
2018-06-28,1.491265
2018-06-29,1.495472
2018-07-02,1.489191
2018-07-03,1.47429
2018-07-04,1.474503
2018-07-05,1.474526
2018-07-06,1.463145
2018-07-10,1.456845
2018-07-11,1.454555
2018-07-12,1.456885
2018-07-13,1.457906
2018-07-16,1.460492
2018-07-17,1.4699
2018-07-18,1.47547
2018-07-19,1.477753
2018-07-20,1.47891
2018-07-23,1.480843
2018-07-24,1.483208
2018-07-25,1.488587
2018-07-26,1.490981
2018-07-27,1.493583
2018-07-30,1.492729
2018-07-31,1.496077
2018-08-01,1.498202
2018-08-02,1.501281
2018-08-03,1.504942
2018-08-06,1.507218
2018-08-07,1.508947
2018-08-08,1.510195
2018-08-09,1.508038
2018-08-10,1.510849
2018-08-13,1.505882
2018-08-14,1.510034
2018-08-15,1.513214
2018-08-16,1.520229
2018-08-17,1.525021
2018-08-21,1.525352
2018-08-22,1.528029
2018-08-23,1.53224
2018-08-24,1.537268
2018-08-27,1.538383
2018-08-28,1.540973
2018-08-29,1.549164
2018-08-30,1.472718
2018-08-31,1.494255
2018-09-03,1.495418
2018-09-04,1.498637
2018-09-05,1.505846
2018-09-06,1.507693
2018-09-07,1.512436
2018-09-10,1.519902
2018-09-11,1.526285
2018-09-12,1.530768
2018-09-13,1.544627
2018-09-14,1.55123
2018-09-17,1.554647
2018-09-18,1.568088
2018-09-19,1.581872
2018-09-20,1.59895
2018-09-21,1.642564
2018-09-24,1.644706
2018-09-25,1.653804
2018-09-26,1.660785
2018-09-27,1.673749
2018-09-28,1.678207
2018-10-01,1.67294
2018-10-02,1.68088
2018-10-03,1.682402
