Date,Price
2024-09-02,1
2024-09-03,1.000056
2024-09-04,1.000096
2024-09-05,1.000118
2024-09-06,1.000134
2024-09-09,1.000183
2024-09-10,1.000202
2024-09-11,1.000219
2024-09-12,1.000239
2024-09-13,1.000257
2024-09-16,1.00031
2024-09-17,1.000327
2024-09-18,1.000341
2024-09-19,1.000355
2024-09-20,1.000369
2024-09-23,1.000433
2024-09-24,1.000451
2024-09-25,1.000469
2024-09-26,1.000487
2024-09-27,1.000502
2024-09-30,1.000545
2024-10-01,1.000558
2024-10-02,1.000569
2024-10-03,1.000581
2024-10-04,1.000593
2024-10-07,1.000633
2024-10-08,1.000644
2024-10-09,1.000656
2024-10-10,1.000668
2024-10-14,1.00071
2024-10-15,1.000722
2024-10-16,1.000733
2024-10-17,1.000742
2024-10-18,1.000752
2024-10-21,1.000784
2024-10-22,1.000794
2024-10-23,1.000804
2024-10-24,1.000814
2024-10-25,1.000821
2024-10-28,1.000843
2024-10-29,1.000851
2024-10-30,1.000858
2024-10-31,1.000866
2024-11-01,1.000878
2024-11-04,1.000914
2024-11-05,1.000926
2024-11-07,1.000948
2024-11-08,1.000959
2024-11-11,1.000993
2024-11-12,1.001004
2024-11-13,1.001015
2024-11-14,1.001026
2024-11-15,1.001037
2024-11-19,1.001083
2024-11-20,1.001095
2024-11-21,1.001106
2024-11-22,1.001118
2024-11-25,1.00115
2024-11-26,1.00116
2024-11-27,1.001171
2024-11-28,1.00118
2024-11-29,1.001191
2024-12-02,1.001226
2024-12-03,1.001237
2024-12-04,1.001249
2024-12-05,1.001261
2024-12-06,1.001274
2024-12-09,1.001312
2024-12-10,1.001325
2024-12-11,1.001338
2024-12-12,1.001351
2024-12-13,1.001364
2024-12-16,1.001402
2024-12-17,1.001415
2024-12-18,1.00143
2024-12-19,1.001444
2024-12-20,1.001458
2024-12-23,1.0015
2024-12-26,1.001544
2024-12-27,1.001558
2024-12-30,1.001603
2025-01-02,1.00165
2025-01-03,1.001665
2025-01-06,1.001707
2025-01-07,1.00172
2025-01-08,1.001733
2025-01-09,1.001747
2025-01-10,1.001766
2025-01-13,1.001803
2025-01-14,1.001815
2025-01-15,1.001828
2025-01-16,1.001846
2025-01-17,1.001856
2025-01-20,1.001891
2025-01-21,1.001906
2025-01-22,1.001918
2025-01-23,1.001931
2025-01-24,1.001944
2025-01-27,1.001984
2025-01-28,1.001998
2025-01-29,1.002008
2025-01-30,1.002019
2025-01-31,1.002031
2025-02-03,1.002075
2025-02-04,1.002086
2025-02-05,1.002098
2025-02-06,1.002114
2025-02-07,1.002132
2025-02-10,1.002195
2025-02-11,1.002219
2025-02-12,1.002246
2025-02-13,1.002274
2025-02-14,1.002307
2025-02-17,1.002411
2025-02-18,1.002444
2025-02-19,1.00249
2025-02-20,1.00253
2025-02-21,1.002569
2025-02-24,1.002678
2025-02-25,1.002711
2025-02-26,1.002749
2025-02-27,1.002793
2025-02-28,1.002849
2025-03-05,1.00309
2025-03-06,1.003155
2025-03-07,1.003226
2025-03-10,1.003399
2025-03-11,1.003456
2025-03-12,1.003515
2025-03-13,1.003579
2025-03-14,1.003659
2025-03-17,1.003854
2025-03-18,1.003922
2025-03-19,1.003995
2025-03-20,1.004064
2025-03-21,1.004127
2025-03-25,1.004306
2025-03-26,1.004365
2025-03-27,1.004423
2025-03-28,1.004481
