Date,Price
2020-09-30,1.000828
2020-10-01,1.001276
2020-10-02,1.001733
2020-10-05,1.0033
2020-10-06,1.003808
2020-10-07,1.004328
2020-10-08,1.00487
2020-10-09,1.005377
2020-10-13,1.00778
2020-10-14,1.008388
2020-10-15,1.008991
2020-10-16,1.009588
2020-10-19,1.011513
2020-10-20,1.012152
2020-10-21,1.012794
2020-10-22,1.013442
2020-10-23,1.014093
2020-10-26,1.016031
2020-10-27,1.016689
2020-10-28,1.01735
2020-10-29,1.018014
2020-10-30,1.018703
2020-11-02,1.020808
2020-11-03,1.021507
2020-11-04,1.022214
2020-11-05,1.022928
2020-11-09,1.025817
2020-11-10,1.026551
2020-11-11,1.027289
2020-11-12,1.028026
2020-11-13,1.028769
2020-11-16,1.031042
2020-11-17,1.031802
2020-11-18,1.032564
2020-11-19,1.033323
2020-11-20,1.034079
2020-11-24,1.037143
2020-11-25,1.03791
2020-11-26,1.038684
2020-11-27,1.039461
2020-11-30,1.041797
2020-12-01,1.042585
2020-12-02,1.043376
2020-12-03,1.04416
2020-12-04,1.044949
2020-12-09,1.048885
2020-12-10,1.049675
2020-12-11,1.050478
2020-12-14,1.052933
2020-12-15,1.05375
2020-12-16,1.054563
2020-12-17,1.055385
2020-12-18,1.056211
2020-12-21,1.058702
2020-12-22,1.059558
2020-12-23,1.060398
2020-12-28,1.064574
2020-12-29,1.065419
2020-12-30,1.066258
2021-01-04,1.070467
2021-01-05,1.071322
2021-01-06,1.072206
2021-01-07,1.073099
2021-01-08,1.07399
2021-01-11,1.076648
2021-01-12,1.077535
2021-01-13,1.078425
2021-01-14,1.079315
2021-01-15,1.080218
2021-01-18,1.082887
2021-01-19,1.083782
2021-01-20,1.084682
2021-01-21,1.085584
2021-01-22,1.08649
2021-01-25,1.089232
2021-01-26,1.090148
2021-01-27,1.091072
2021-01-28,1.092002
2021-01-29,1.092922
2021-02-01,1.095646
2021-02-02,1.09656
2021-02-03,1.097474
2021-02-04,1.098385
2021-02-05,1.099304
2021-02-08,1.102111
2021-02-09,1.103035
2021-02-10,1.103976
2021-02-11,1.10493
2021-02-12,1.10587
2021-02-17,1.110528
2021-02-18,1.111463
