Date,Price
2017-03-16,1
2017-03-17,1.000208
2017-03-20,1.000242
2017-03-21,1.000457
2017-03-22,1.00043
2017-03-23,1.000469
2017-03-27,1.000401
2017-03-28,1.000472
2017-03-29,1.000993
2017-03-30,1.001098
2017-03-31,1.001399
2017-04-03,1.001554
2017-04-04,1.002285
2017-04-05,1.003565
2017-04-06,1.004204
2017-04-07,1.004353
2017-04-10,1.004788
2017-04-11,1.005904
2017-04-12,1.005862
2017-04-17,1.006285
2017-04-18,1.007625
2017-04-19,1.008529
2017-04-20,1.010035
2017-04-21,1.010681
2017-04-24,1.013042
2017-04-25,1.01645
2017-04-26,1.015888
2017-04-27,1.016636
2017-04-28,1.017767
2017-05-02,1.018761
2017-05-03,1.019417
2017-05-04,1.018671
2017-05-05,1.018692
2017-05-08,1.018941
2017-05-09,1.019003
2017-05-10,1.020993
2017-05-11,1.021104
2017-05-12,1.021243
2017-05-15,1.021244
2017-05-16,1.022265
2017-05-17,1.024602
2017-05-18,1.024207
2017-05-19,1.024462
2017-05-22,1.024572
2017-05-23,1.023894
2017-05-24,1.02526
2017-05-26,1.025346
2017-05-29,1.025655
2017-05-30,1.025826
2017-05-31,1.025986
2017-06-01,1.026228
2017-06-02,1.027166
2017-06-05,1.027085
2017-06-06,1.027474
2017-06-07,1.027709
2017-06-08,1.027908
2017-06-09,1.027998
2017-06-12,1.028075
2017-06-13,1.028543
2017-06-14,1.029316
2017-06-15,1.028626
2017-06-16,1.029306
2017-06-19,1.028799
2017-06-21,1.028887
2017-06-22,1.02911
2017-06-23,1.028952
2017-06-26,1.028944
2017-06-27,1.028821
2017-06-28,1.029179
2017-06-29,1.028766
2017-06-30,1.029012
2017-07-03,1.029061
2017-07-04,1.029323
2017-07-05,1.029088
2017-07-06,1.02831
2017-07-07,1.028398
2017-07-10,1.028733
2017-07-11,1.028996
2017-07-12,1.029659
2017-07-13,1.029072
2017-07-14,1.029577
2017-07-17,1.029175
2017-07-18,1.029109
2017-07-19,1.029274
2017-07-20,1.029279
2017-07-21,1.029554
2017-07-24,1.029076
2017-07-25,1.029403
2017-07-26,1.029388
2017-07-27,1.029313
2017-07-28,1.028214
2017-07-31,1.029159
2017-08-01,1.030082
2017-08-02,1.03006
2017-08-03,1.030354
2017-08-04,1.02927
2017-08-07,1.029566
2017-08-08,1.030483
2017-08-09,1.030678
2017-08-10,1.030867
2017-08-11,1.032831
2017-08-14,1.037505
2017-08-15,1.037318
2017-08-16,1.038545
2017-08-17,1.038663
2017-08-18,1.040352
2017-08-22,1.040297
2017-08-23,1.041447
2017-08-24,1.041808
2017-08-25,1.0428
