Date,Price
2019-01-02,0.901223
2019-01-03,0.901662
2019-01-04,0.90164
2019-01-07,0.901814
2019-01-08,0.901847
2019-01-09,0.901964
2019-01-10,0.902148
2019-01-11,0.902134
2019-01-14,0.902321
2019-01-15,0.90235
2019-01-16,0.902362
2019-01-17,0.902619
2019-01-18,0.902544
2019-01-21,0.902508
2019-01-22,0.90264
2019-01-23,0.902808
2019-01-24,0.902979
2019-01-25,0.903006
2019-01-28,0.902067
2019-01-29,0.902056
2019-01-30,0.902184
2019-01-31,0.902714
2019-02-01,0.902469
2019-02-04,0.902564
2019-02-05,0.902716
2019-02-06,0.902698
2019-02-07,0.90259
2019-02-08,0.902648
2019-02-11,0.902744
2019-02-12,0.902771
2019-02-13,0.902949
2019-02-14,0.90323
2019-02-15,0.903222
2019-02-18,0.903181
2019-02-19,0.903405
2019-02-20,0.903527
2019-02-21,0.903555
2019-02-22,0.903478
2019-02-25,0.903733
2019-02-26,0.903782
2019-02-27,0.904056
2019-02-28,0.904118
2019-03-01,0.903873
2019-03-06,0.904338
2019-03-07,0.904532
2019-03-08,0.904481
2019-03-11,0.904744
2019-03-12,0.904943
2019-03-13,0.904985
2019-03-14,0.905147
2019-03-15,0.905154
2019-03-18,0.905167
2019-03-19,0.905145
2019-03-20,0.905397
2019-03-21,0.90578
2019-03-22,0.905564
2019-03-25,0.90581
2019-03-26,0.906159
2019-03-27,0.905737
2019-03-28,0.90575
2019-03-29,0.90598
2019-04-01,0.905957
2019-04-03,0.905892
2019-04-04,0.906144
2019-04-05,0.905879
2019-04-08,0.905895
2019-04-09,0.905955
2019-04-10,0.905809
2019-04-11,0.905297
2019-04-12,0.904999
2019-04-15,0.905206
2019-04-16,0.905071
2019-04-17,0.905214
2019-04-22,0.905191
2019-04-23,0.905362
2019-04-24,0.905497
2019-04-25,0.906398
2019-04-26,0.906151
2019-04-29,0.905714
2019-04-30,0.905718
2019-05-02,0.905886
2019-05-03,0.905912
2019-05-06,0.9058
2019-05-07,0.905933
2019-05-08,0.906533
2019-05-09,0.906709
2019-05-10,0.906798
2019-05-13,0.906956
2019-05-14,0.906907
2019-05-15,0.907111
2019-05-16,0.907313
2019-05-17,0.907235
2019-05-20,0.907351
2019-05-21,0.907659
2019-05-22,0.907619
2019-05-23,0.907833
2019-05-24,0.908098
2019-05-27,0.907971
2019-05-28,0.908155
2019-05-29,0.908186
2019-05-30,0.90849
2019-05-31,0.90855
2019-06-03,0.908698
2019-06-04,0.908954
2019-06-05,0.909058
2019-06-06,0.909198
2019-06-07,0.90934
2019-06-10,0.909268
2019-06-11,0.909371
2019-06-12,0.909446
2019-06-13,0.909531
2019-06-14,0.909658
2019-06-18,0.909889
2019-06-19,0.910121
2019-06-21,0.910393
2019-06-24,0.910448
2019-06-25,0.910335
2019-06-26,0.910311
2019-06-27,0.910486
2019-06-28,0.910553
2019-07-01,0.910721
2019-07-02,0.910779
2019-07-03,0.911008
2019-07-04,0.910986
2019-07-05,0.910785
2019-07-10,0.910962
2019-07-11,0.910871
2019-07-12,0.910952
2019-07-15,0.910928
2019-07-16,0.910889
2019-07-17,0.910961
2019-07-18,0.911195
2019-07-19,0.91118
2019-07-22,0.911162
2019-07-23,0.911145
2019-07-24,0.911113
2019-07-25,0.911288
2019-07-26,0.911298
2019-07-29,0.911324
2019-07-30,0.911322
2019-07-31,0.911357
2019-08-01,0.911475
2019-08-02,0.911516
2019-08-05,0.911609
2019-08-06,0.911704
2019-08-07,0.911981
2019-08-08,0.912153
2019-08-09,0.912184
2019-08-12,0.912107
2019-08-13,0.9121
2019-08-14,0.912132
2019-08-15,0.912635
2019-08-16,0.912466
2019-08-20,0.912408
2019-08-21,0.91239
2019-08-22,0.912575
2019-08-23,0.912618
2019-08-26,0.912546
2019-08-27,0.912564
2019-08-28,0.912641
2019-08-29,0.912346
2019-08-30,0.912296
2019-09-02,0.912304
2019-09-03,0.911997
2019-09-04,0.911732
2019-09-05,0.911744
2019-09-06,0.911911
2019-09-09,0.911763
2019-09-10,0.912641
