Date,Price
2011-08-08,1
2011-08-09,1
2011-08-10,1
2011-08-11,1.010343
2011-08-12,1.013118
2011-08-15,1.014089
2011-08-16,1.00789
2011-08-17,1.01156
2011-08-18,1.0073
2011-08-19,1.007771
2011-08-23,1.012283
2011-08-24,1.014106
2011-08-25,1.019177
2011-08-26,1.019336
2011-08-29,1.022701
2011-08-30,1.025283
2011-08-31,1.027143
2011-09-01,1.024615
2011-09-02,1.036386
2011-09-05,1.035252
2011-09-06,1.037343
2011-09-07,1.041583
2011-09-08,1.043487
2011-09-09,1.040688
2011-09-12,1.036686
2011-09-13,1.040033
2011-09-14,1.039326
2011-09-15,1.039675
2011-09-16,1.039789
2011-09-19,1.033594
2011-09-20,1.032517
2011-09-21,1.018587
2011-09-22,1.004402
2011-09-23,1.001328
2011-09-26,1.004796
2011-09-27,1.008368
2011-09-28,0.997413
2011-09-29,0.996706
2011-09-30,0.995178
2011-10-03,0.981332
2011-10-04,0.969029
2011-10-05,0.964273
2011-10-06,0.97271
2011-10-07,0.972532
2011-10-11,0.992098
2011-10-12,1.007717
2011-10-13,1.013024
2011-10-14,1.03524
2011-10-17,1.035884
2011-10-18,1.058795
2011-10-19,1.066757
2011-10-20,1.062685
2011-10-21,1.064057
2011-10-24,1.075435
2011-10-25,1.073118
2011-10-26,1.085398
2011-10-27,1.113946
2011-10-28,1.120258
2011-10-31,1.119628
2011-11-01,1.09126
2011-11-02,1.072865
2011-11-03,1.095635
2011-11-04,1.089585
2011-11-07,1.089278
2011-11-08,1.091459
2011-11-09,1.082719
2011-11-10,1.086381
2011-11-11,1.092917
2011-11-14,1.084237
2011-11-15,1.083707
2011-11-16,1.073204
2011-11-17,1.059714
2011-11-18,1.055271
2011-11-21,1.038807
2011-11-22,1.038263
2011-11-23,1.02381
2011-11-24,1.027012
2011-11-25,1.02039
2011-11-29,1.036521
2011-11-30,1.069227
2011-12-01,1.077659
2011-12-02,1.075347
2011-12-05,1.078711
2011-12-06,1.075766
2011-12-07,1.071923
2011-12-12,1.051358
2011-12-13,1.05265
2011-12-14,1.039512
2011-12-15,1.039175
2011-12-16,1.049296
2011-12-19,1.043444
2011-12-20,1.05641
2011-12-21,1.064035
2011-12-22,1.065113
2011-12-23,1.071637
2011-12-27,1.071536
2011-12-28,1.062824
2011-12-29,1.073224
2012-01-03,1.089085
2012-01-04,1.094569
2012-01-05,1.101725
2012-01-06,1.104532
2012-01-09,1.102619
2012-01-10,1.111811
2012-01-11,1.114074
2012-01-12,1.120068
2012-01-13,1.111359
2012-01-16,1.109169
2012-01-17,1.105893
2012-01-18,1.115712
2012-01-19,1.114501
2012-01-20,1.115778
2012-01-23,1.118975
2012-01-24,1.110853
2012-01-25,1.117831
2012-01-26,1.117813
2012-01-27,1.114248
2012-01-30,1.116124
2012-01-31,1.119838
2012-02-01,1.125929
2012-02-02,1.127943
2012-02-03,1.125239
2012-02-06,1.128173
2012-02-07,1.13096
2012-02-08,1.125135
2012-02-09,1.125454
2012-02-10,1.126706
2012-02-13,1.137486
2012-02-14,1.141412
2012-02-15,1.141873
2012-02-16,1.147967
2012-02-17,1.148749
2012-02-22,1.15752
2012-02-23,1.158773
2012-02-24,1.153039
2012-02-28,1.150182
2012-02-29,1.140783
2012-03-01,1.150346
2012-03-02,1.148149
2012-03-05,1.148534
2012-03-06,1.14694
2012-03-07,1.148607
2012-03-08,1.155455
2012-03-09,1.154551
2012-03-12,1.157025
2012-03-13,1.163679
2012-03-14,1.166446
2012-03-15,1.168293
2012-03-16,1.171589
2012-03-19,1.179542
2012-03-20,1.181283
2012-03-21,1.183571
2012-03-22,1.182161
2012-03-23,1.197474
2012-03-26,1.207209
2012-03-27,1.211242
2012-03-28,1.201987
2012-03-29,1.189527
2012-03-30,1.188434
2012-04-03,1.189759
2012-04-04,1.194086
2012-04-09,1.202425
2012-04-10,1.211931
2012-04-11,1.199782
2012-04-12,1.208189
2012-04-13,1.213534
2012-04-16,1.209775
2012-04-17,1.222744
2012-04-18,1.235173
2012-04-19,1.229426
2012-04-20,1.22212
2012-04-23,1.209854
2012-04-24,1.205906
2012-04-25,1.203724
2012-04-26,1.196343
2012-04-27,1.18594
2012-05-02,1.180319
2012-05-03,1.17014
2012-05-04,1.18569
2012-05-07,1.186949
2012-05-08,1.196285
2012-05-09,1.199339
2012-05-10,1.199602
2012-05-11,1.210012
2012-05-14,1.210719
2012-05-15,1.20326
2012-05-16,1.196073
2012-05-17,1.198201
2012-05-18,1.201697
2012-05-21,1.215708
2012-05-22,1.223109
2012-05-23,1.255808
2012-05-24,1.272241
2012-05-28,1.274183
2012-05-29,1.250807
2012-05-30,1.257858
2012-05-31,1.2398
2012-06-01,1.264091
2012-06-04,1.25971
2012-06-05,1.26056
2012-06-06,1.253355
2012-06-07,1.264173
2012-06-08,1.269089
2012-06-11,1.269237
2012-06-12,1.290095
2012-06-13,1.280612
2012-06-14,1.297058
2012-06-15,1.304218
2012-06-18,1.312181
2012-06-19,1.320492
2012-06-21,1.288737
2012-06-22,1.28796
2012-06-25,1.315462
2012-06-26,1.298057
2012-06-27,1.294777
2012-06-28,1.277509
2012-06-29,1.287702
2012-07-02,1.285488
2012-07-03,1.303158
2012-07-04,1.30937
2012-07-05,1.313757
2012-07-06,1.313096
2012-07-10,1.29211
2012-07-11,1.288079
2012-07-12,1.309196
2012-07-13,1.323171
2012-07-16,1.331515
2012-07-17,1.332745
2012-07-18,1.344243
2012-07-19,1.350083
2012-07-20,1.348392
2012-07-23,1.337984
2012-07-24,1.313535
2012-07-25,1.326073
2012-07-26,1.339236
2012-07-27,1.325003
2012-07-30,1.333754
2012-07-31,1.324672
2012-08-01,1.326151
2012-08-02,1.334731
2012-08-03,1.347714
2012-08-06,1.350756
2012-08-07,1.35725
2012-08-08,1.345397
2012-08-09,1.33278
2012-08-10,1.333719
2012-08-13,1.317557
2012-08-14,1.325329
2012-08-15,1.338271
2012-08-16,1.338533
2012-08-17,1.332952
2012-08-21,1.32899
2012-08-22,1.328498
2012-08-23,1.328957
2012-08-24,1.329061
2012-08-27,1.330454
2012-08-28,1.325281
2012-08-29,1.322289
2012-08-30,1.317143
2012-08-31,1.326742
2012-09-03,1.328829
2012-09-04,1.329479
2012-09-05,1.335623
2012-09-06,1.347699
2012-09-07,1.348174
2012-09-10,1.347569
2012-09-11,1.354261
2012-09-12,1.354538
2012-09-13,1.366836
2012-09-14,1.36924
2012-09-17,1.367196
2012-09-18,1.378546
2012-09-19,1.370084
2012-09-20,1.378351
2012-09-21,1.387203
2012-09-25,1.377332
2012-09-26,1.373029
2012-09-27,1.374142
2012-09-28,1.369026
2012-10-01,1.375549
2012-10-02,1.378072
2012-10-03,1.381783
2012-10-04,1.389735
2012-10-05,1.394297
2012-10-09,1.377824
2012-10-10,1.363091
2012-10-11,1.367031
2012-10-12,1.359168
2012-10-15,1.37246
2012-10-16,1.379409
2012-10-17,1.376654
2012-10-18,1.372807
2012-10-19,1.369777
2012-10-22,1.371536
2012-10-23,1.37968
2012-10-24,1.381918
2012-10-25,1.389423
2012-10-26,1.382414
2012-10-29,1.368854
2012-10-30,1.371883
2012-10-31,1.37284
2012-11-01,1.368603
2012-11-02,1.371711
2012-11-05,1.374881
2012-11-07,1.37842
2012-11-08,1.379592
2012-11-09,1.381359
2012-11-12,1.378719
2012-11-13,1.377474
2012-11-14,1.373312
2012-11-15,1.377807
2012-11-16,1.379818
2012-11-19,1.375616
2012-11-20,1.380062
2012-11-21,1.38419
2012-11-22,1.375504
2012-11-23,1.379452
2012-11-27,1.383302
2012-11-28,1.384474
2012-11-29,1.392248
2012-11-30,1.399922
2012-12-03,1.400422
2012-12-04,1.407461
2012-12-05,1.411354
2012-12-06,1.408156
2012-12-07,1.408175
2012-12-10,1.409043
2012-12-11,1.415576
2012-12-12,1.418475
2012-12-13,1.429101
2012-12-14,1.44152
2012-12-17,1.451014
2012-12-18,1.45881
2012-12-19,1.4604
2012-12-20,1.470211
2012-12-21,1.470752
2012-12-26,1.477867
2012-12-27,1.479431
2012-12-28,1.488055
2013-01-02,1.493519
2013-01-03,1.494775
2013-01-04,1.499323
2013-01-07,1.500768
2013-01-08,1.513361
2013-01-09,1.519023
2013-01-10,1.524143
2013-01-11,1.524801
2013-01-14,1.524911
2013-01-15,1.525936
2013-01-16,1.535466
2013-01-17,1.550245
2013-01-18,1.558211
2013-01-21,1.564462
2013-01-22,1.586721
2013-01-23,1.5892
2013-01-24,1.597584
2013-01-25,1.601899
2013-01-28,1.602685
2013-01-29,1.614174
2013-01-30,1.613496
2013-02-01,1.62968
2013-02-04,1.618623
2013-02-05,1.616871
