Date,Price
2024-08-20,1
2024-08-21,1.000901
2024-08-22,1.00139
2024-08-23,0.997812
2024-08-26,1.004118
2024-08-27,1.007511
2024-08-28,1.007714
2024-08-29,1.002688
2024-08-30,1.011259
2024-09-02,1.016942
2024-09-03,1.018739
2024-09-04,1.013537
2024-09-05,0.993627
2024-09-06,0.980523
2024-09-09,0.968503
2024-09-10,0.974175
2024-09-11,0.977872
2024-09-12,0.982409
2024-09-13,0.97497
2024-09-16,0.975306
2024-09-17,0.971528
2024-09-18,0.966086
2024-09-19,0.954759
2024-09-20,0.960829
2024-09-23,0.962244
2024-09-24,0.960699
2024-09-25,0.962866
2024-09-26,0.963406
2024-09-27,0.964795
2024-09-30,0.970175
2024-10-01,0.974503
2024-10-02,0.96899
2024-10-03,0.969686
2024-10-04,0.966066
2024-10-07,0.959568
2024-10-08,0.952604
2024-10-09,0.938981
2024-10-10,0.923769
2024-10-14,0.93013
2024-10-15,0.929872
2024-10-16,0.940372
2024-10-17,0.940822
2024-10-18,0.943156
2024-10-21,0.944207
2024-10-22,0.941739
2024-10-23,0.938337
2024-10-24,0.934641
2024-10-25,0.923464
2024-10-28,0.915288
2024-10-29,0.914819
2024-10-30,0.915662
2024-10-31,0.913943
2024-11-01,0.928002
2024-11-04,0.930447
2024-11-05,0.934116
2024-11-07,0.919627
2024-11-08,0.916298
2024-11-11,0.918901
2024-11-12,0.917153
2024-11-13,0.91672
2024-11-14,0.905987
2024-11-15,0.898228
2024-11-19,0.882067
2024-11-20,0.880148
2024-11-21,0.881594
2024-11-22,0.881887
2024-11-25,0.88025
2024-11-26,0.877811
2024-11-27,0.87958
2024-11-28,0.879427
2024-11-29,0.878311
2024-12-02,0.873588
2024-12-03,0.876631
2024-12-04,0.880933
2024-12-05,0.869865
2024-12-06,0.856027
2024-12-09,0.851144
2024-12-10,0.856363
2024-12-11,0.853843
2024-12-12,0.857434
2024-12-13,0.866907
2024-12-16,0.889902
2024-12-17,0.913236
2024-12-18,0.91206
2024-12-19,0.916695
2024-12-20,0.929581
2024-12-23,0.939926
2024-12-26,0.949559
2024-12-27,0.948349
2024-12-30,0.950263
2025-01-02,0.94518
2025-01-03,0.946054
2025-01-06,0.947724
2025-01-07,0.948004
2025-01-08,0.950425
2025-01-09,0.950001
2025-01-10,0.950758
2025-01-13,0.950447
2025-01-14,0.95063
2025-01-15,0.95126
2025-01-16,0.952846
2025-01-17,0.953394
2025-01-20,0.952628
2025-01-21,0.954612
2025-01-22,0.954292
2025-01-23,0.954375
2025-01-24,0.945572
2025-01-27,0.945818
2025-01-28,0.947604
2025-01-29,0.950025
2025-01-30,0.951648
2025-01-31,0.952715
2025-02-03,0.960311
2025-02-04,0.967148
2025-02-05,0.971761
2025-02-06,0.969164
2025-02-07,0.972297
2025-02-10,0.966681
2025-02-11,0.965929
2025-02-12,0.967788
2025-02-13,0.973114
2025-02-14,0.973181
2025-02-17,0.989538
2025-02-18,0.983748
2025-02-19,0.985447
2025-02-20,0.988086
2025-02-21,0.992686
2025-02-24,0.990281
2025-02-25,0.992309
2025-02-26,0.994484
2025-02-27,0.996706
2025-02-28,1.006261
2025-03-05,1.01135
2025-03-06,1.009328
2025-03-07,0.996459
2025-03-10,1.003182
2025-03-11,1.003872
2025-03-12,1.003268
2025-03-13,1.006976
2025-03-14,1.015622
2025-03-17,1.022574
2025-03-18,1.057793
2025-03-19,1.052684
2025-03-20,1.051259
2025-03-21,1.05211
2025-03-25,1.061123
2025-03-26,1.059969
2025-03-27,1.057681
2025-03-28,1.065892
