Date,Price
2023-05-03,1
2023-05-04,1.000178
2023-05-05,1.000387
2023-05-08,1.001115
2023-05-09,1.001378
2023-05-10,1.002094
2023-05-11,1.003144
2023-05-12,1.003343
2023-05-15,1.004054
2023-05-16,1.004448
2023-05-17,1.004684
2023-05-18,1.005175
2023-05-19,1.006611
2023-05-22,1.006817
2023-05-23,1.008417
2023-05-24,1.00864
2023-05-29,1.009034
2023-05-30,1.00914
2023-05-31,1.009441
2023-06-01,1.009478
2023-06-02,1.009528
2023-06-05,1.010148
2023-06-06,1.010299
2023-06-07,1.010865
2023-06-08,1.011197
2023-06-09,1.012517
2023-06-12,1.012609
2023-06-13,1.012741
2023-06-14,1.012731
2023-06-15,1.013385
2023-06-16,1.013458
2023-06-21,1.014852
2023-06-22,1.015915
2023-06-23,1.016043
2023-06-26,1.016547
2023-06-27,1.016618
2023-06-28,1.016641
2023-06-29,1.016723
2023-06-30,1.017398
2023-07-03,1.017774
2023-07-04,1.017851
2023-07-05,1.017473
2023-07-06,1.01788
2023-07-07,1.017999
2023-07-10,1.017679
2023-07-11,1.017684
2023-07-12,1.017712
2023-07-13,1.017375
2023-07-14,1.018806
2023-07-17,1.01888
2023-07-18,1.01853
2023-07-19,1.018668
2023-07-20,1.01882
2023-07-21,1.018987
2023-07-24,1.019038
2023-07-25,1.019178
2023-07-26,1.018816
2023-07-27,1.019055
2023-07-28,1.018525
2023-07-31,1.018578
2023-08-01,1.018474
2023-08-02,1.018443
2023-08-03,1.018205
2023-08-04,1.018302
2023-08-07,1.01787
2023-08-08,1.018053
2023-08-09,1.018244
2023-08-10,1.018335
2023-08-11,1.018237
2023-08-14,1.018151
2023-08-15,1.018637
2023-08-16,1.018435
2023-08-17,1.018114
2023-08-18,1.018169
2023-08-22,1.018388
2023-08-23,1.018486
2023-08-24,1.018767
2023-08-25,1.019057
2023-08-28,1.019158
2023-08-29,1.019427
2023-08-30,1.01948
2023-08-31,1.019945
2023-09-01,1.020245
2023-09-04,1.02056
2023-09-05,1.020421
2023-09-06,1.021063
2023-09-07,1.021409
2023-09-08,1.021558
2023-09-11,1.021321
2023-09-12,1.020925
2023-09-13,1.021088
2023-09-14,1.021515
2023-09-15,1.021341
2023-09-18,1.022009
2023-09-19,1.021385
2023-09-20,1.021475
2023-09-21,1.021458
2023-09-22,1.021638
2023-09-25,1.021673
2023-09-26,1.021839
2023-09-27,1.022017
2023-09-28,1.021495
2023-09-29,1.021685
2023-10-02,1.021634
2023-10-03,1.02135
2023-10-04,1.020868
2023-10-05,1.020722
2023-10-06,1.019198
2023-10-09,1.017106
2023-10-10,1.014855
2023-10-11,1.013304
2023-10-12,1.016214
2023-10-17,1.012957
2023-10-18,1.012784
2023-10-19,1.012616
2023-10-20,1.012903
2023-10-23,1.012164
2023-10-24,1.012021
2023-10-25,1.011799
2023-10-26,1.012391
2023-10-27,1.009466
2023-10-30,1.00966
2023-10-31,1.009643
2023-11-01,1.010282
2023-11-02,1.010275
2023-11-03,1.010556
2023-11-07,1.010743
2023-11-08,1.011365
2023-11-09,1.011549
2023-11-10,1.011859
2023-11-13,1.011853
2023-11-14,1.01206
2023-11-15,1.012765
2023-11-16,1.012979
2023-11-17,1.013826
2023-11-21,1.014166
2023-11-22,1.013849
2023-11-23,1.014064
2023-11-24,1.014058
2023-11-27,1.014888
2023-11-28,1.016108
2023-11-29,1.01574
2023-11-30,1.015694
2023-12-01,1.01527
2023-12-04,1.015358
2023-12-05,1.012153
2023-12-06,1.013719
2023-12-07,1.013918
2023-12-11,1.013452
2023-12-12,1.015892
2023-12-13,1.016051
2023-12-14,1.017518
2023-12-15,1.017233
2023-12-18,1.017277
2023-12-19,1.016991
2023-12-20,1.017315
2023-12-21,1.017499
2023-12-22,1.01733
2023-12-26,1.016606
2023-12-27,1.016155
2023-12-28,1.015606
2023-12-29,1.015558
2024-01-02,1.015584
2024-01-03,1.015188
2024-01-04,1.02161
2024-01-05,1.025806
2024-01-08,1.030741
2024-01-09,1.030442
2024-01-10,1.030177
2024-01-11,1.030581
2024-01-12,1.031072
2024-01-15,1.031394
2024-01-16,1.031768
2024-01-17,1.031127
2024-01-18,1.034521
2024-01-19,1.042681
2024-01-22,1.042555
2024-01-23,1.042349
2024-01-24,1.042153
2024-01-25,1.04185
2024-01-26,1.041564
2024-01-29,1.039053
2024-01-30,1.038492
2024-01-31,1.038407
2024-02-01,1.03847
