Date,Price
2016-04-15,1
2016-04-18,1.002041
2016-04-19,1.00298
2016-04-20,1.004145
2016-04-21,1.005068
2016-04-22,1.007687
2016-04-25,1.008574
2016-04-26,1.01086
2016-04-27,1.012449
2016-04-28,1.013496
2016-04-29,1.016143
2016-05-02,1.016326
2016-05-03,1.017277
2016-05-04,1.01855
2016-05-05,1.019365
2016-05-06,1.022112
2016-05-09,1.023712
2016-05-10,1.024581
2016-05-11,1.025747
2016-05-12,1.027186
2016-05-13,1.029644
2016-05-16,1.030404
2016-05-17,1.031209
2016-05-18,1.032523
2016-05-19,1.032788
2016-05-20,1.033922
2016-05-23,1.034523
2016-05-24,1.036526
2016-05-26,1.040193
2016-05-27,1.043644
2016-05-30,1.044481
2016-05-31,1.045996
2016-06-01,1.047299
2016-06-02,1.048499
2016-06-03,1.051184
2016-06-06,1.051999
2016-06-07,1.053688
2016-06-08,1.054847
2016-06-09,1.055873
2016-06-10,1.058348
2016-06-13,1.05919
2016-06-14,1.061343
2016-06-15,1.062481
2016-06-16,1.066384
2016-06-21,1.067218
2016-06-22,1.068455
2016-06-23,1.07065
2016-06-24,1.074085
2016-06-27,1.075233
2016-06-28,1.075942
2016-06-29,1.080371
2016-06-30,1.081626
2016-07-01,1.083563
2016-07-04,1.084354
2016-07-05,1.085151
2016-07-06,1.085594
2016-07-07,1.089394
2016-07-11,1.090899
2016-07-12,1.090792
2016-07-13,1.092163
2016-07-14,1.093765
2016-07-15,1.096427
2016-07-18,1.097283
2016-07-19,1.098134
2016-07-20,1.099123
2016-07-21,1.099712
2016-07-22,1.101662
2016-07-25,1.102271
2016-07-26,1.102739
2016-07-27,1.104142
2016-07-28,1.105663
2016-07-29,1.107345
2016-08-01,1.108203
2016-08-02,1.109181
2016-08-03,1.110394
2016-08-04,1.110976
2016-08-05,1.113286
2016-08-08,1.113696
2016-08-09,1.114918
2016-08-10,1.115971
2016-08-11,1.117116
2016-08-12,1.119878
2016-08-16,1.120635
2016-08-17,1.121925
2016-08-18,1.122518
2016-08-19,1.124548
2016-08-22,1.125344
2016-08-23,1.125963
2016-08-24,1.126982
2016-08-25,1.127569
2016-08-26,1.129596
2016-08-29,1.13018
2016-08-30,1.131734
2016-08-31,1.132479
2016-09-01,1.133247
2016-09-02,1.13529
2016-09-05,1.135916
2016-09-06,1.137715
2016-09-07,1.139088
2016-09-08,1.140291
2016-09-09,1.142152
2016-09-12,1.143007
2016-09-13,1.143042
2016-09-14,1.144475
2016-09-15,1.145167
2016-09-16,1.147479
2016-09-19,1.148659
2016-09-20,1.150672
2016-09-21,1.152002
2016-09-22,1.15354
2016-09-23,1.156581
2016-09-26,1.157346
2016-09-27,1.158607
2016-09-28,1.160804
2016-09-29,1.161909
2016-09-30,1.162529
2016-10-03,1.163078
2016-10-04,1.163952
2016-10-05,1.164916
2016-10-06,1.165796
2016-10-07,1.16765
2016-10-11,1.168427
2016-10-12,1.168642
2016-10-13,1.169434
2016-10-14,1.171076
2016-10-17,1.171428
2016-10-18,1.170926
2016-10-19,1.17245
2016-10-20,1.17271
2016-10-21,1.174644
2016-10-24,1.174678
2016-10-25,1.176265
2016-10-26,1.177492
2016-10-27,1.178293
2016-10-28,1.179948
2016-10-31,1.17981
2016-11-01,1.180098
2016-11-02,1.181132
2016-11-03,1.182048
2016-11-04,1.183563
2016-11-07,1.183825
2016-11-08,1.184194
2016-11-09,1.185489
2016-11-10,1.185406
2016-11-11,1.187566
2016-11-14,1.187448
2016-11-15,1.187957
2016-11-16,1.189312
2016-11-17,1.190377
2016-11-18,1.192336
2016-11-21,1.192256
2016-11-22,1.193548
2016-11-23,1.195429
2016-11-24,1.19644
2016-11-25,1.198947
2016-11-29,1.199465
2016-11-30,1.201449
2016-12-01,1.201764
2016-12-02,1.203646
2016-12-05,1.204716
2016-12-06,1.205296
2016-12-07,1.208927
2016-12-12,1.209792
2016-12-13,1.209486
2016-12-14,1.210637
2016-12-15,1.211181
2016-12-16,1.213584
2016-12-19,1.213768
2016-12-20,1.214509
2016-12-21,1.21541
2016-12-22,1.215752
2016-12-23,1.218729
2016-12-26,1.217171
2016-12-27,1.218442
2016-12-28,1.21989
2016-12-29,1.221052
2017-01-02,1.223333
2017-01-03,1.224046
2017-01-04,1.227567
