Date,Price
2021-09-01,1.000112
2021-09-02,1.000422
2021-09-03,1.000572
2021-09-06,1.000731
2021-09-07,0.998955
2021-09-08,0.99893
2021-09-09,1.000403
2021-09-10,1.001368
2021-09-13,1.004078
2021-09-14,1.001137
2021-09-15,1.002276
2021-09-16,1.004844
2021-09-17,1.006089
2021-09-20,1.004482
2021-09-21,1.005925
2021-09-22,1.005213
2021-09-23,1.007299
2021-09-24,1.009444
2021-09-27,1.011299
2021-09-28,1.011577
2021-09-29,1.013263
2021-09-30,1.015052
2021-10-01,1.016293
2021-10-04,1.016542
2021-10-05,1.017589
2021-10-06,1.022855
2021-10-07,1.026133
2021-10-12,1.026706
2021-10-13,1.026372
2021-10-14,1.02801
2021-10-15,1.030282
2021-10-18,1.038434
2021-10-19,1.040485
2021-10-20,1.042675
2021-10-21,1.045501
2021-10-22,1.047704
2021-10-25,1.048106
2021-10-26,1.049862
2021-10-27,1.052031
2021-10-28,1.057795
2021-10-29,1.058218
2021-11-01,1.059563
2021-11-02,1.061971
2021-11-03,1.061612
2021-11-04,1.063946
2021-11-05,1.06518
2021-11-08,1.065803
2021-11-09,1.065167
2021-11-10,1.061077
2021-11-11,1.063111
2021-11-12,1.068376
2021-11-15,1.072348
2021-11-16,1.073787
2021-11-17,1.075064
2021-11-18,1.078042
2021-11-19,1.080872
2021-11-23,1.081668
2021-11-24,1.083012
2021-11-25,1.084819
2021-11-26,1.087119
2021-11-29,1.088742
2021-11-30,1.088495
2021-12-01,1.09373
2021-12-02,1.098071
2021-12-03,1.102342
2021-12-06,1.103206
2021-12-07,1.10379
2021-12-09,1.103627
2021-12-10,1.103976
2021-12-13,1.105738
2021-12-14,1.101009
2021-12-15,1.094849
2021-12-16,1.093613
2021-12-17,1.09921
2021-12-20,1.099739
2021-12-21,1.101672
2021-12-22,1.103005
2021-12-23,1.107535
2021-12-27,1.108655
2021-12-28,1.109875
2021-12-29,1.113378
2021-12-30,1.115873
2022-01-03,1.121041
2022-01-04,1.125525
2022-01-05,1.126655
2022-01-06,1.126456
2022-01-07,1.130412
2022-01-10,1.131675
2022-01-11,1.133722
2022-01-12,1.135317
2022-01-13,1.136307
2022-01-14,1.139494
2022-01-17,1.142057
2022-01-18,1.145709
2022-01-19,1.146346
2022-01-20,1.146183
2022-01-21,1.146932
2022-01-24,1.148587
2022-01-25,1.149718
2022-01-26,1.149947
2022-01-27,1.151371
2022-01-28,1.152799
2022-01-31,1.154685
2022-02-01,1.155353
2022-02-02,1.156841
2022-02-03,1.162937
2022-02-04,1.165535
2022-02-07,1.167343
2022-02-08,1.169262
2022-02-09,1.169988
2022-02-10,1.170455
2022-02-11,1.175895
2022-02-14,1.176736
2022-02-15,1.176574
2022-02-16,1.177731
2022-02-17,1.179858
2022-02-18,1.181545
2022-02-21,1.183291
2022-02-22,1.185052
2022-02-23,1.184408
2022-02-24,1.187758
2022-02-25,1.193717
2022-03-02,1.196291
2022-03-03,1.207362
2022-03-04,1.214868
2022-03-07,1.218245
2022-03-08,1.213671
2022-03-09,1.217507
2022-03-10,1.22179
2022-03-11,1.223824
2022-03-14,1.222384
2022-03-15,1.223167
2022-03-16,1.22819
2022-03-17,1.23879
2022-03-18,1.244874
2022-03-21,1.250997
2022-03-22,1.254196
2022-03-23,1.253075
2022-03-25,1.252546
2022-03-28,1.249275
2022-03-29,1.249195
2022-03-30,1.254727
2022-03-31,1.257886
2022-04-01,1.262063
2022-04-04,1.266136
2022-04-05,1.266783
2022-04-06,1.267424
2022-04-07,1.270743
2022-04-08,1.270891
2022-04-11,1.275092
2022-04-12,1.29291
2022-04-13,1.306452
2022-04-18,1.314098
2022-04-19,1.315053
2022-04-20,1.318161
2022-04-21,1.321775
2022-04-22,1.326633
2022-04-25,1.329285
2022-04-26,1.338476
2022-04-27,1.341841
2022-04-28,1.347495
2022-04-29,1.357062
2022-05-02,1.367596
2022-05-03,1.369708
2022-05-04,1.370758
2022-05-05,1.369535
2022-05-06,1.369495
2022-05-09,1.358423
2022-05-10,1.356811
2022-05-11,1.346078
2022-05-12,1.3587
2022-05-13,1.363585
2022-05-16,1.364716
2022-05-17,1.363345
2022-05-19,1.369294
2022-05-20,1.37079
2022-05-23,1.374478
2022-05-24,1.37726
2022-05-26,1.378889
2022-05-27,1.382451
2022-05-30,1.382717
2022-05-31,1.384999
2022-06-01,1.38792
2022-06-02,1.389027
2022-06-03,1.391845
2022-06-06,1.395841
2022-06-07,1.394167
2022-06-08,1.363272
2022-06-09,1.352645
2022-06-10,1.355682
2022-06-13,1.369528
2022-06-14,1.368806
2022-06-15,1.37566
2022-06-16,1.37528
2022-06-21,1.37528
2022-08-26,1.37528
2022-08-29,1.375408
2022-08-30,1.375364
2022-08-31,1.389372
2022-09-01,1.389545
2022-09-05,1.394852
2022-09-06,1.394414
2022-09-07,1.395175
2022-09-08,1.398836
2022-09-09,1.406249
2022-09-12,1.408359
2022-09-13,1.40939
2022-09-14,1.409037
2022-09-15,1.412128
2022-09-16,1.416096
2022-09-19,1.416249
2022-09-20,1.417946
2022-09-21,1.419977
2022-09-22,1.426157
2022-09-23,1.430533
2022-09-26,1.432198
2022-09-27,1.433482
2022-09-28,1.43474
2022-09-29,1.435559
2022-09-30,1.439634
2022-10-03,1.4421
2022-10-04,1.443789
2022-10-05,1.453875
2022-10-06,1.460135
2022-10-11,1.460837
2022-10-12,1.463932
2022-10-13,1.470449
2022-10-14,1.477759
2022-10-17,1.482192
2022-10-18,1.484162
2022-10-19,1.488885
2022-10-20,1.494971
2022-10-21,1.501317
2022-10-24,1.504506
2022-10-25,1.505826
2022-10-26,1.508403
2022-10-27,1.510203
2022-10-28,1.522599
2022-10-31,1.524554
2022-11-01,1.528774
2022-11-02,1.5334
2022-11-03,1.537801
2022-11-04,1.541528
2022-11-07,1.543192
2022-11-08,1.545961
2022-11-09,1.550118
2022-11-10,1.555498
2022-11-11,1.555814
2022-11-14,1.56129
2022-11-15,1.569325
2022-11-16,1.577208
2022-11-17,1.588054
2022-11-18,1.592315
2022-11-22,1.594009
2022-11-23,1.597849
2022-11-24,1.606075
2022-11-25,1.612914
2022-11-28,1.61522
2022-11-29,1.61994
2022-11-30,1.630369
