Date,Price
2017-12-13,1.000584
2017-12-14,1.001602
2017-12-15,1.003816
2017-12-18,1.00467
2017-12-19,1.005437
2017-12-20,1.006139
2017-12-21,1.007266
2017-12-22,1.010229
2017-12-26,1.010946
2017-12-27,1.011726
2017-12-28,1.012912
2017-12-29,1.016303
2018-01-02,1.018123
2018-01-03,1.01885
2018-01-04,1.019851
2018-01-05,1.02177
2018-01-08,1.022899
2018-01-09,1.023474
2018-01-10,1.023471
2018-01-11,1.025468
2018-01-12,1.026507
2018-01-15,1.027213
2018-01-16,1.027861
2018-01-17,1.029452
2018-01-18,1.031098
2018-01-19,1.032189
2018-01-22,1.032869
2018-01-23,1.033487
2018-01-24,1.03399
2018-01-25,1.035652
2018-01-26,1.036644
2018-01-29,1.037836
2018-01-30,1.038489
2018-01-31,1.039116
2018-02-01,1.040889
2018-02-02,1.041552
2018-02-05,1.04241
2018-02-06,1.042896
2018-02-07,1.043613
2018-02-08,1.046272
2018-02-09,1.047108
2018-02-14,1.047914
2018-02-15,1.049764
2018-02-16,1.050603
2018-02-19,1.051502
2018-02-20,1.052064
2018-02-21,1.052579
2018-02-22,1.053466
2018-02-23,1.054858
2018-02-26,1.056085
2018-02-27,1.056576
2018-02-28,1.057276
2018-03-01,1.058096
2018-03-02,1.060111
2018-03-05,1.060738
2018-03-06,1.061432
2018-03-07,1.062093
2018-03-08,1.062814
2018-03-09,1.064858
2018-03-12,1.065534
2018-03-13,1.066194
2018-03-14,1.066907
2018-03-15,1.067607
2018-03-16,1.069901
2018-03-19,1.070412
2018-03-20,1.071483
2018-03-21,1.072252
2018-03-22,1.073085
2018-03-23,1.0751
2018-03-26,1.075962
2018-03-27,1.07679
2018-03-28,1.080891
2018-04-03,1.081493
2018-04-04,1.082524
2018-04-05,1.082837
2018-04-06,1.084825
2018-04-09,1.085528
2018-04-10,1.086221
2018-04-11,1.086928
2018-04-12,1.087578
2018-04-13,1.089918
2018-04-16,1.090345
2018-04-17,1.090854
2018-04-18,1.091536
2018-04-19,1.092279
2018-04-20,1.094127
2018-04-23,1.09471
2018-04-24,1.095317
2018-04-25,1.095758
2018-04-26,1.096239
2018-04-27,1.098659
2018-05-02,1.099112
2018-05-03,1.09802
2018-05-04,1.100367
2018-05-07,1.099331
2018-05-08,1.099072
2018-05-09,1.099338
2018-05-10,1.098046
2018-05-11,1.096727
2018-05-14,1.096895
2018-05-15,1.096492
2018-05-16,1.097212
2018-05-17,1.097973
2018-05-18,1.100784
2018-05-21,1.101575
2018-05-22,1.102734
2018-05-23,1.103589
2018-05-24,1.106264
2018-05-28,1.107295
2018-05-29,1.107997
2018-05-30,1.1086
2018-05-31,1.108963
2018-06-01,1.111385
2018-06-04,1.11264
2018-06-05,1.113149
2018-06-06,1.11413
2018-06-07,1.115526
2018-06-08,1.117183
2018-06-11,1.118123
2018-06-12,1.118896
2018-06-13,1.119273
2018-06-14,1.11836
2018-06-15,1.117841
2018-06-18,1.117875
2018-06-19,1.121022
2018-06-21,1.123524
2018-06-22,1.126675
2018-06-25,1.12795
2018-06-26,1.128866
2018-06-27,1.129937
2018-06-28,1.131062
2018-06-29,1.13312
2018-07-02,1.132986
2018-07-03,1.13198
2018-07-04,1.132524
2018-07-05,1.126189
2018-07-06,1.131016
2018-07-10,1.127965
2018-07-11,1.127723
2018-07-12,1.12999
2018-07-13,1.130671
2018-07-16,1.128748
2018-07-17,1.131883
2018-07-18,1.133658
2018-07-19,1.135152
2018-07-20,1.136958
2018-07-23,1.137933
2018-07-24,1.139656
2018-07-25,1.141264
2018-07-26,1.141963
2018-07-27,1.145473
2018-07-30,1.145275
2018-07-31,1.146528
2018-08-01,1.148248
2018-08-02,1.150285
2018-08-03,1.15345
2018-08-06,1.154607
2018-08-07,1.155818
2018-08-08,1.15701
2018-08-09,1.156985
2018-08-10,1.159146
2018-08-13,1.159508
2018-08-14,1.160485
2018-08-15,1.162969
2018-08-16,1.164886
2018-08-17,1.169893
2018-08-21,1.170675
2018-08-22,1.172216
2018-08-23,1.173685
2018-08-24,1.177979
2018-08-27,1.179778
2018-08-28,1.180786
2018-08-29,1.181495
2018-08-30,1.145765
2018-08-31,1.152378
2018-09-03,1.15392
2018-09-04,1.15601
2018-09-05,1.157955
2018-09-06,1.16074
2018-09-07,1.166863
2018-09-10,1.168217
2018-09-11,1.170307
2018-09-12,1.172105
2018-09-13,1.174153
2018-09-14,1.179265
2018-09-17,1.181545
2018-09-18,1.182451
2018-09-19,1.18549
2018-09-20,1.188483
2018-09-21,1.203605
2018-09-24,1.206636
2018-09-25,1.207349
2018-09-26,1.210545
2018-09-27,1.210575
2018-09-28,1.214474
2018-10-01,1.21569
2018-10-02,1.219427
2018-10-03,1.220968
2018-10-04,1.222433
2018-10-05,1.225453
2018-10-08,1.227354
2018-10-09,1.229266
2018-10-10,1.231185
2018-10-11,1.233049
2018-10-12,1.239321
2018-10-16,1.24231
2018-10-17,1.244418
2018-10-18,1.245649
2018-10-19,1.250498
2018-10-22,1.252586
2018-10-23,1.254846
2018-10-24,1.258305
2018-10-25,1.260746
2018-10-26,1.263507
2018-10-29,1.267246
2018-10-30,1.268861
2018-10-31,1.270297
2018-11-01,1.272361
2018-11-02,1.278051
2018-11-05,1.281474
2018-11-07,1.282
2018-11-08,1.283554
2018-11-09,1.288932
2018-11-12,1.291892
2018-11-13,1.293348
2018-11-14,1.29499
2018-11-15,1.297091
2018-11-16,1.304343
2018-11-20,1.305303
2018-11-21,1.307279
2018-11-22,1.309054
2018-11-23,1.314482
2018-11-26,1.316032
2018-11-27,1.317829
2018-11-28,1.319814
2018-11-29,1.327357
2018-12-03,1.328966
2018-12-04,1.330919
2018-12-05,1.332882
2018-12-06,1.334627
2018-12-07,1.340398
2018-12-10,1.342091
2018-12-11,1.345466
2018-12-12,1.347601
2018-12-13,1.349452
2018-12-14,1.354621
2018-12-17,1.356705
2018-12-18,1.358417
2018-12-19,1.361918
2018-12-20,1.364692
2018-12-21,1.374035
2018-12-26,1.37573
2018-12-27,1.379203
2018-12-28,1.387126
2019-01-02,1.389142
2019-01-03,1.390641
2019-01-04,1.396102
2019-01-07,1.397795
2019-01-08,1.399189
2019-01-09,1.403484
2019-01-10,1.405895
2019-01-11,1.411457
2019-01-14,1.413311
2019-01-15,1.41555
2019-01-16,1.417323
2019-01-17,1.419188
2019-01-18,1.424454
2019-01-21,1.426263
2019-01-22,1.427995
2019-01-23,1.430382
2019-01-24,1.432792
2019-01-25,1.438108
2019-01-28,1.440829
2019-01-29,1.44345
2019-01-30,1.445217
2019-01-31,1.446969
2019-02-01,1.452352
2019-02-04,1.453884
2019-02-05,1.455652
2019-02-06,1.457411
2019-02-07,1.461231
2019-02-08,1.465656
2019-02-11,1.467616
2019-02-12,1.469117
2019-02-13,1.470654
2019-02-14,1.472005
2019-02-15,1.476236
2019-02-18,1.477771
2019-02-19,1.478878
2019-02-20,1.480064
2019-02-21,1.481325
2019-02-22,1.48556
2019-02-25,1.48613
2019-02-26,1.487255
2019-02-27,1.489202
2019-02-28,1.492549
2019-03-01,1.498909
2019-03-06,1.497561
2019-03-07,1.495591
2019-03-08,1.502184
2019-03-11,1.50537
2019-03-12,1.50438
2019-03-13,1.505513
2019-03-14,1.508111
2019-03-15,1.513194
2019-03-18,1.5149
2019-03-19,1.516587
2019-03-20,1.518191
2019-03-21,1.519998
2019-03-22,1.524285
2019-03-25,1.526259
2019-03-26,1.525598
2019-03-27,1.526863
2019-03-28,1.528953
2019-03-29,1.534642
2019-04-01,1.538464
2019-04-03,1.540511
2019-04-04,1.541864
2019-04-05,1.544919
2019-04-08,1.547257
2019-04-09,1.546068
2019-04-10,1.547492
2019-04-11,1.549498
2019-04-12,1.554695
2019-04-15,1.558929
2019-04-16,1.561473
2019-04-17,1.570076
2019-04-22,1.571669
2019-04-23,1.573709
2019-04-24,1.570435
2019-04-25,1.566998
2019-04-26,1.569739
2019-04-29,1.57005
2019-04-30,1.576221
2019-05-02,1.579465
2019-05-03,1.585219
2019-05-06,1.585357
2019-05-07,1.587687
2019-05-08,1.590534
2019-05-09,1.593557
2019-05-10,1.596847
2019-05-13,1.599353
2019-05-14,1.600803
2019-05-15,1.602805
2019-05-16,1.605457
2019-05-17,1.611634
2019-05-20,1.614803
2019-05-21,1.616189
2019-05-22,1.619043
2019-05-23,1.620905
2019-05-24,1.629016
2019-05-27,1.631033
2019-05-28,1.636331
2019-05-29,1.638979
2019-05-30,1.643266
2019-05-31,1.651713
2019-06-03,1.655741
2019-06-04,1.659263
2019-06-05,1.660715
2019-06-06,1.662988
2019-06-07,1.672025
2019-06-10,1.675808
2019-06-11,1.679115
2019-06-12,1.68554
2019-06-13,1.688805
2019-06-14,1.699265
2019-06-18,1.702685
2019-06-19,1.708938
2019-06-21,1.716482
2019-06-24,1.718799
2019-06-25,1.721994
2019-06-26,1.723428
2019-06-27,1.726355
2019-06-28,1.733731
2019-07-01,1.736668
2019-07-02,1.738687
2019-07-03,1.74185
2019-07-04,1.744688
2019-07-05,1.758016
2019-07-10,1.760425
2019-07-11,1.762508
2019-07-12,1.770406
2019-07-15,1.771285
2019-07-16,1.774828
2019-07-17,1.777341
2019-07-18,1.781509
2019-07-19,1.788819
2019-07-22,1.792675
2019-07-23,1.794934
2019-07-24,1.797266
2019-07-25,1.797391
2019-07-26,1.803208
2019-07-29,1.80514
2019-07-30,1.807726
2019-07-31,1.809572
2019-08-01,1.81066
2019-08-02,1.81817
2019-08-05,1.818913
2019-08-06,1.818619
2019-08-07,1.818328
2019-08-08,1.820611
2019-08-09,1.82891
2019-08-12,1.736154
2019-08-13,1.736826
2019-08-14,1.754642
2019-08-15,1.811358
2019-08-16,1.838728
2019-08-20,1.842093
2019-08-21,1.84995
2019-08-22,1.860587
2019-08-23,1.882087
2019-08-26,1.889489
2019-08-27,1.888423
2019-08-28,1.891282
2019-09-03,1.842801
2019-09-04,1.845
2019-09-05,1.852054
2019-09-06,1.847461
2019-09-09,1.856027
2019-09-10,1.879619
2019-09-11,1.884402
2019-09-12,1.877801
2019-09-13,1.872754
2019-09-16,1.881284
2019-09-17,1.878211
2019-09-18,1.871822
2019-09-19,1.878594
2019-09-20,1.890597
2019-09-23,1.925147
2019-09-24,1.932335
2019-09-25,1.971237
2019-09-26,1.928609
2019-09-27,1.975981
2019-09-30,1.985361
2019-10-01,1.999188
2019-10-02,2.043546
2019-10-03,2.053898
2019-10-04,2.073256
2019-10-07,2.094561
2019-10-08,2.127728
2019-10-09,2.147039
2019-10-10,2.160953
2019-10-11,2.183137
2019-10-15,2.193236
2019-10-16,2.197672
2019-10-17,2.197832
2019-10-18,2.222515
2019-10-21,2.231146
2019-10-22,2.179725
2019-10-23,2.235926
2019-10-24,2.207892
2019-10-25,2.303282
2019-10-28,2.308108
2019-10-29,2.310946
2019-10-30,2.314533
2019-10-31,2.319057
2019-11-01,2.410029
2019-11-04,2.418036
2019-11-05,2.425433
