Date,Price
2021-07-01,2.415731
2021-07-02,2.425104
2021-07-05,2.431245
2021-07-06,2.433996
2021-07-07,2.442331
2021-07-08,2.444642
2021-07-12,2.440556
2021-07-13,2.450734
2021-07-14,2.45486
2021-07-15,2.460619
2021-07-16,2.473742
2021-07-19,2.479687
2021-07-20,2.481067
2021-07-21,2.484297
2021-07-22,2.494124
2021-07-23,2.495266
2021-07-26,2.498328
2021-07-27,2.501573
2021-07-28,2.501476
2021-07-29,2.509056
2021-07-30,2.513347
2021-08-02,2.513748
2021-08-03,2.523581
2021-08-04,2.524288
2021-08-05,2.529518
2021-08-06,2.526487
2021-08-09,2.527533
2021-08-10,2.528439
2021-08-11,2.529259
2021-08-12,2.52993
2021-08-13,2.540386
2021-08-17,2.53861
2021-08-18,2.541527
2021-08-19,2.548016
2021-08-20,2.554177
2021-08-23,2.555683
2021-08-24,2.554701
2021-08-25,2.55194
2021-08-26,2.559346
2021-08-27,2.566753
2021-08-30,2.574278
2021-08-31,2.574793
2021-09-01,2.581029
2021-09-02,2.586713
2021-09-03,2.585854
2021-09-06,2.586194
2021-09-07,2.586876
2021-09-08,2.587186
2021-09-09,2.600013
2021-09-10,2.60777
2021-09-13,2.616271
2021-09-14,2.61248
2021-09-15,2.61378
2021-09-16,2.617407
2021-09-17,2.624448
2021-09-20,2.617483
2021-09-21,2.625231
2021-09-22,2.632319
2021-09-23,2.647615
2021-09-24,2.65592
2021-09-27,2.661563
2021-09-28,2.668527
2021-09-29,2.677626
2021-09-30,2.682222
2021-10-01,2.68288
2021-10-04,2.681915
2021-10-05,2.685743
2021-10-06,2.694187
2021-10-07,2.700269
2021-10-12,2.700875
2021-10-13,2.702192
2021-10-14,2.713157
2021-10-15,2.71857
2021-10-18,2.720325
2021-10-19,2.724613
2021-10-20,2.725998
2021-10-21,2.737319
2021-10-22,2.747291
2021-10-25,2.749325
2021-10-26,2.746606
2021-10-27,2.753356
2021-10-28,2.768701
2021-10-29,2.787675
2021-11-01,2.809847
2021-11-02,2.822794
2021-11-03,2.817069
2021-11-04,2.82613
2021-11-05,2.842491
2021-11-08,2.843164
2021-11-09,2.838891
2021-11-10,2.830194
2021-11-11,2.838576
2021-11-12,2.850916
2021-11-15,2.847692
2021-11-16,2.855112
2021-11-17,2.854161
2021-11-18,2.859986
2021-11-19,2.862256
2021-11-23,2.860765
2021-11-24,2.861387
2021-11-25,2.864884
2021-11-26,2.852074
2021-11-29,2.852507
2021-11-30,2.858411
2021-12-01,2.895194
2021-12-02,2.906544
2021-12-03,2.928234
2021-12-06,2.937533
2021-12-07,2.944374
2021-12-09,2.926235
2021-12-10,2.919097
2021-12-13,2.906908
2021-12-14,2.901321
2021-12-15,2.886302
2021-12-16,2.89095
2021-12-17,2.905584
2021-12-20,2.90833
2021-12-21,2.917877
2021-12-22,2.92527
2021-12-23,2.917646
2021-12-27,2.918332
2021-12-28,2.923871
2021-12-29,2.937853
2021-12-30,2.951149
2022-01-03,2.964206
2022-01-04,2.965868
2022-01-05,2.97251
2022-01-06,2.984429
2022-01-07,2.989199
2022-01-10,2.993045
2022-01-11,2.997346
2022-01-12,2.993972
2022-01-13,2.99862
2022-01-14,2.998338
2022-01-17,3.013764
2022-01-18,3.014343
2022-01-19,3.025396
2022-01-20,3.048136
2022-01-21,3.06498
2022-01-24,3.067631
2022-01-25,3.069505
2022-01-26,3.086314
2022-01-27,3.089412
2022-01-28,3.098409
2022-01-31,3.104634
2022-02-01,3.105252
2022-02-02,3.103415
2022-02-03,3.10907
2022-02-04,3.105046
2022-02-07,3.104358
2022-02-08,3.099027
2022-02-09,3.093712
2022-02-10,3.09655
2022-02-11,3.111552
2022-02-14,3.110303
2022-02-15,3.111725
2022-02-16,3.110498
2022-02-17,3.115069
2022-02-18,3.109623
2022-02-21,3.117961
2022-02-22,3.103301
2022-02-23,3.10208
2022-02-24,3.106782
2022-02-25,3.105022
2022-03-02,3.108581
2022-03-03,3.115634
2022-03-04,3.127341
2022-03-07,3.113431
2022-03-08,3.108632
2022-03-09,3.103374
2022-03-10,3.110539
2022-03-11,3.112825
2022-03-14,3.108239
2022-03-15,3.11774
2022-03-16,3.144275
2022-03-17,3.167709
2022-03-18,3.172541
2022-03-21,3.189843
2022-03-22,3.20755
2022-03-23,3.219294
2022-03-25,3.220826
2022-03-28,3.210977
2022-03-29,3.203985
2022-03-30,3.214291
2022-03-31,3.223866
2022-04-01,3.221852
2022-04-04,3.23041
2022-04-05,3.235079
2022-04-06,3.231457
2022-04-07,3.247379
2022-04-08,3.245352
2022-04-11,3.256297
2022-04-12,3.266848
2022-04-13,3.28432
2022-04-18,3.295256
2022-04-19,3.299488
2022-04-20,3.319834
2022-04-21,3.34859
2022-04-22,3.378949
2022-04-25,3.382884
2022-04-26,3.411401
2022-04-27,3.409921
2022-04-28,3.403963
2022-04-29,3.418236
2022-05-02,3.442568
2022-05-03,3.45083
2022-05-04,3.449802
2022-05-05,3.457517
2022-05-06,3.460852
2022-05-09,3.446255
2022-05-10,3.447771
2022-05-11,3.435376
2022-05-12,3.444058
2022-05-13,3.454511
2022-05-16,3.457618
2022-05-17,3.453661
2022-05-19,3.452213
2022-05-20,3.459274
2022-05-23,3.468701
2022-05-24,3.479171
2022-05-26,3.482411
2022-05-27,3.475117
2022-05-30,3.480735
2022-05-31,3.477969
2022-06-01,3.478429
2022-06-02,3.469057
2022-06-03,3.473693
2022-06-06,3.485635
2022-06-07,3.478704
2022-06-08,3.415984
2022-06-09,3.39625
2022-06-10,3.42373
2022-06-13,3.457515
2022-06-14,3.49776
2022-06-15,3.513388
2022-06-16,3.521193
2022-06-21,3.514001
2022-06-22,3.484744
2022-06-23,3.48129
2022-06-24,3.464566
2022-06-27,3.552957
2022-06-28,3.570466
2022-06-29,3.587419
2022-06-30,3.61764
2022-07-01,3.621961
2022-07-04,3.730576
2022-07-05,3.712071
2022-07-06,3.727934
2022-07-07,3.796004
2022-07-08,3.821859
2022-07-11,3.8256
2022-07-12,3.815929
2022-07-13,3.83105
2022-07-14,3.866541
2022-07-15,3.887461
2022-07-18,3.909142
2022-07-19,3.9191
2022-07-20,3.92727
2022-07-21,3.999562
2022-07-22,3.987054
2022-07-25,4.010386
2022-07-26,4.029602
2022-07-27,4.032054
2022-07-28,3.982467
2022-07-29,3.942191
2022-08-01,3.923937
2022-08-02,3.947894
2022-08-03,3.952589
2022-08-04,3.972368
2022-08-05,3.95202
2022-08-08,3.957963
2022-08-09,3.960726
2022-08-10,3.967278
2022-08-11,3.965459
2022-08-12,3.989397
2022-08-16,3.986578
2022-08-17,4.014111
2022-08-18,4.054191
2022-08-19,4.08967
2022-08-22,4.08662
2022-08-23,4.109592
2022-08-24,4.11246
2022-08-25,4.112351
2022-08-26,4.12613
2022-08-29,4.142862
2022-08-30,4.149698
2022-08-31,4.179081
2022-09-01,4.17789
2022-09-05,4.151471
2022-09-06,4.160803
2022-09-07,4.149315
2022-09-08,4.167817
2022-09-09,4.166309
2022-09-12,4.172093
2022-09-13,4.176328
2022-09-14,4.191853
2022-09-15,4.252466
2022-09-16,4.28664
2022-09-19,4.299988
2022-09-20,4.299552
2022-09-21,4.326188
2022-09-22,4.361886
2022-09-23,4.3666
2022-09-26,4.368659
2022-09-27,4.353363
2022-09-28,4.350652
2022-09-29,4.354952
2022-09-30,4.387879
2022-10-03,4.397336
2022-10-04,4.385367
2022-10-05,4.404005
2022-10-06,4.401304
2022-10-11,4.398664
2022-10-12,4.399814
2022-10-13,4.419318
2022-10-14,4.430509
2022-10-17,4.439668
2022-10-18,4.425529
2022-10-19,4.431102
2022-10-20,4.444687
2022-10-21,4.456774
2022-10-24,4.467259
2022-10-25,4.4781
2022-10-26,4.488985
2022-10-27,4.509034
2022-10-28,4.524653
2022-10-31,4.532659
2022-11-01,4.532993
2022-11-02,4.535517
2022-11-03,4.564949
2022-11-04,4.564875
2022-11-07,4.563809
2022-11-08,4.570232
2022-11-09,4.589998
2022-11-10,4.623277
2022-11-11,4.625723
2022-11-14,4.644485
2022-11-15,4.688374
2022-11-16,4.71548
2022-11-17,4.774269
2022-11-18,4.773835
2022-11-22,4.777196
2022-11-23,4.784184
2022-11-24,4.78984
2022-11-25,4.80325
2022-11-28,4.802356
2022-11-29,4.822781
2022-11-30,4.822623
2022-12-01,4.857073
2022-12-02,4.880243
2022-12-05,4.901768
2022-12-06,4.952791
2022-12-07,4.94315
2022-12-12,4.930605
2022-12-13,4.939212
2022-12-14,4.937898
2022-12-15,4.953148
2022-12-16,4.973412
2022-12-19,4.997862
2022-12-20,5.003469
2022-12-21,5.01094
2022-12-22,5.027074
2022-12-23,5.040131
2022-12-26,5.069129
2022-12-27,5.111014
2022-12-28,5.135745
2022-12-29,5.131314
2022-12-30,5.149504
2023-01-02,5.158965
2023-01-03,5.173079
2023-01-04,5.172326
2023-01-05,5.186756
2023-01-06,5.194505
2023-01-09,5.177637
2023-01-10,5.175614
2023-01-11,5.198136
2023-01-12,5.247099
2023-01-13,5.276979
2023-01-16,5.306423
2023-01-17,5.340801
2023-01-18,5.308732
2023-01-19,5.337476
2023-01-20,5.359937
2023-01-23,5.373274
2023-01-24,5.378106
2023-01-25,5.401666
2023-01-26,5.424912
2023-01-27,5.442496
2023-01-30,5.458217
2023-01-31,5.462537
2023-02-01,5.472013
2023-02-02,5.478141
2023-02-03,5.492642
2023-02-06,5.514863
2023-02-07,5.523451
2023-02-08,5.533051
2023-02-09,5.548514
2023-02-10,5.566741
2023-02-13,5.569828
2023-02-14,5.572282
2023-02-15,5.576449
2023-02-16,5.605593
2023-02-17,5.607221
2023-02-22,5.619896
2023-02-23,5.620114
2023-02-24,5.630727
2023-02-27,5.634033
2023-02-28,5.664986
2023-03-01,5.682636
2023-03-02,5.708269
2023-03-03,5.716465
2023-03-06,5.731965
2023-03-07,5.737511
