Date,Price
2022-12-06,1
2022-12-07,1.007187
2022-12-12,0.997032
2022-12-13,0.994511
2022-12-14,0.987884
2022-12-15,0.989826
2022-12-16,0.991303
2022-12-19,1.015853
2022-12-20,1.030886
2022-12-21,1.068322
2022-12-22,1.085821
2022-12-23,1.12132
2022-12-26,1.154978
2022-12-27,1.171788
2022-12-28,1.198649
2022-12-29,1.184576
2022-12-30,1.203516
2023-01-02,1.237872
2023-01-03,1.178141
2023-01-04,1.192533
2023-01-05,1.239555
2023-01-06,1.253652
2023-01-09,1.262834
2023-01-10,1.265527
2023-01-11,1.311458
2023-01-12,1.365227
2023-01-13,1.406638
2023-01-16,1.44681
2023-01-17,1.504755
2023-01-18,1.357277
2023-01-19,1.356306
2023-01-20,1.432789
2023-01-23,1.452504
2023-01-24,1.463863
2023-01-25,1.518959
2023-01-26,1.529585
2023-01-27,1.48786
2023-01-30,1.436552
2023-01-31,1.482261
2023-02-01,1.469064
2023-02-02,1.45197
2023-02-03,1.397419
2023-02-06,1.419984
2023-02-07,1.448263
2023-02-08,1.480401
2023-02-09,1.465817
2023-02-10,1.476305
2023-02-13,1.515021
2023-02-14,1.512799
2023-02-15,1.493412
2023-02-16,1.503882
2023-02-17,1.45696
2023-02-22,1.425903
2023-02-23,1.442229
2023-02-24,1.438278
2023-02-27,1.447262
2023-02-28,1.430165
2023-03-01,1.446118
2023-03-02,1.406939
2023-03-03,1.420157
2023-03-06,1.463287
2023-03-07,1.423404
2023-03-08,1.438782
2023-03-09,1.424687
2023-03-10,1.358345
2023-03-13,1.28729
2023-03-14,1.258104
2023-03-15,1.198597
2023-03-16,1.2762
2023-03-17,1.275899
2023-03-20,1.276165
2023-03-21,1.321287
2023-03-22,1.306986
2023-03-23,1.274029
2023-03-27,1.364515
2023-03-28,1.423537
2023-03-29,1.465736
2023-03-30,1.479188
2023-03-31,1.442189
2023-04-03,1.50019
2023-04-04,1.480772
2023-04-05,1.494093
2023-04-10,1.52814
2023-04-11,1.545216
2023-04-12,1.573844
2023-04-13,1.58946
2023-04-14,1.61786
2023-04-17,1.650133
2023-04-18,1.674131
2023-04-19,1.626014
2023-04-20,1.661128
2023-04-21,1.716195
2023-04-24,1.772304
2023-04-25,1.7962
2023-04-26,1.804587
2023-04-27,1.757877
2023-04-28,1.772672
2023-05-02,1.754952
2023-05-03,1.711715
2023-05-04,1.657024
2023-05-05,1.747646
2023-05-08,1.795404
