Date,Price
2022-06-03,1
2022-06-06,1.000965
2022-06-07,1.003116
2022-06-08,1.002751
2022-06-09,1.006406
2022-06-10,1.018841
2022-06-13,1.036869
2022-06-14,1.038697
2022-06-15,1.039796
2022-06-16,1.046356
2022-06-21,1.048363
2022-06-22,1.047665
2022-06-23,1.047739
2022-06-24,1.049568
2022-06-27,1.062206
2022-06-28,1.066303
2022-06-29,1.077904
2022-06-30,1.083984
2022-07-01,1.086481
2022-07-04,1.120599
2022-07-05,1.116673
2022-07-06,1.12061
2022-07-07,1.137928
2022-07-08,1.146139
2022-07-11,1.145409
2022-07-12,1.140078
2022-07-13,1.140716
2022-07-14,1.147443
2022-07-15,1.151003
2022-07-18,1.159146
2022-07-19,1.160111
2022-07-20,1.163818
2022-07-21,1.186959
2022-07-22,1.182812
2022-07-25,1.187394
2022-07-26,1.194878
2022-07-27,1.195219
2022-07-28,1.181472
2022-07-29,1.166772
2022-08-01,1.162669
2022-08-02,1.169968
2022-08-03,1.172632
2022-08-04,1.17747
2022-08-05,1.172112
2022-08-08,1.174047
2022-08-09,1.17426
2022-08-10,1.177564
2022-08-11,1.177505
2022-08-12,1.179863
2022-08-16,1.179628
2022-08-17,1.185348
2022-08-18,1.195117
2022-08-19,1.204928
2022-08-22,1.205578
2022-08-23,1.210708
2022-08-24,1.212553
2022-08-25,1.212894
2022-08-26,1.21585
2022-08-29,1.219232
2022-08-30,1.222117
2022-08-31,1.2264
2022-09-01,1.225047
2022-09-05,1.220908
2022-09-06,1.224085
2022-09-07,1.221767
2022-09-08,1.228154
2022-09-09,1.226108
2022-09-12,1.226666
2022-09-13,1.230601
2022-09-14,1.235284
2022-09-15,1.250787
2022-09-16,1.261573
2022-09-19,1.263944
2022-09-20,1.261318
2022-09-21,1.269902
2022-09-22,1.282624
2022-09-23,1.28081
2022-09-26,1.284059
2022-09-27,1.280194
2022-09-28,1.280473
2022-09-29,1.28244
2022-09-30,1.293779
2022-10-03,1.297475
2022-10-04,1.296881
2022-10-05,1.295168
2022-10-06,1.297831
2022-10-11,1.301508
2022-10-12,1.306626
2022-10-13,1.312739
2022-10-14,1.315096
2022-10-17,1.316699
2022-10-18,1.312154
2022-10-19,1.315828
2022-10-20,1.318548
2022-10-21,1.322914
2022-10-24,1.324725
2022-10-25,1.329001
2022-10-26,1.331811
2022-10-27,1.332254
2022-10-28,1.337144
2022-10-31,1.339592
2022-11-01,1.338968
2022-11-02,1.34201
2022-11-03,1.346638
2022-11-04,1.348375
2022-11-07,1.352782
2022-11-08,1.354771
2022-11-09,1.359518
2022-11-10,1.365031
2022-11-11,1.369596
2022-11-14,1.377015
2022-11-15,1.390191
2022-11-16,1.39853
2022-11-17,1.410831
2022-11-18,1.413549
2022-11-22,1.415401
2022-11-23,1.416411
2022-11-24,1.416059
2022-11-25,1.417772
2022-11-28,1.42175
2022-11-29,1.426595
2022-11-30,1.425819
2022-12-01,1.430682
2022-12-02,1.440037
2022-12-05,1.447319
2022-12-06,1.462549
2022-12-07,1.461065
2022-12-12,1.456097
2022-12-13,1.462366
2022-12-14,1.465513
2022-12-15,1.470175
2022-12-16,1.479709
2022-12-19,1.482847
2022-12-20,1.484385
2022-12-21,1.487762
2022-12-22,1.491052
2022-12-23,1.493718
2022-12-26,1.499668
2022-12-27,1.5082
2022-12-28,1.516659
2022-12-29,1.512276
2022-12-30,1.518321
2023-01-02,1.520781
2023-01-03,1.52482
2023-01-04,1.522292
2023-01-05,1.524535
2023-01-06,1.527971
2023-01-09,1.524128
2023-01-10,1.524144
2023-01-11,1.530259
2023-01-12,1.542962
2023-01-13,1.552168
2023-01-16,1.562432
2023-01-17,1.572083
2023-01-18,1.562292
2023-01-19,1.569326
2023-01-20,1.575196
2023-01-23,1.581137
2023-01-24,1.5807
2023-01-25,1.586916
2023-01-26,1.592388
2023-01-27,1.599321
2023-01-30,1.600443
2023-01-31,1.598931
2023-02-01,1.604901
2023-02-02,1.606033
2023-02-03,1.611213
2023-02-06,1.615947
2023-02-07,1.615157
2023-02-08,1.618058
2023-02-09,1.624633
2023-02-10,1.629719
2023-02-13,1.630363
2023-02-14,1.629599
2023-02-15,1.630354
2023-02-16,1.635316
2023-02-17,1.638067
2023-02-22,1.641057
2023-02-23,1.640705
2023-02-24,1.643415
2023-02-27,1.644709
2023-02-28,1.657185
2023-03-01,1.661233
2023-03-02,1.668231
2023-03-03,1.671891
2023-03-06,1.677126
2023-03-07,1.681173
2023-03-08,1.687107
2023-03-09,1.700081
2023-03-10,1.714106
2023-03-13,1.718225
2023-03-14,1.71882
2023-03-15,1.722516
2023-03-16,1.729728
2023-03-17,1.741971
2023-03-20,1.741128
2023-03-21,1.739976
2023-03-22,1.738815
2023-03-23,1.731988
2023-03-27,1.742502
2023-03-28,1.741569
2023-03-29,1.748445
2023-03-30,1.756889
2023-03-31,1.771388
2023-04-03,1.77472
2023-04-04,1.777208
2023-04-05,1.780081
2023-04-10,1.779258
2023-04-11,1.781629
2023-04-12,1.78435
2023-04-13,1.790541
2023-04-14,1.803432
2023-04-17,1.814204
2023-04-18,1.83317
2023-04-19,1.841034
2023-04-20,1.84654
2023-04-21,1.876142
2023-04-24,1.887505
2023-04-25,1.896982
2023-04-26,1.895614
2023-04-27,1.882948
2023-04-28,1.889196
2023-05-02,1.898199
2023-05-03,1.891479
2023-05-04,1.895683
2023-05-05,1.906412
2023-05-08,1.921354
2023-05-09,1.920876
2023-05-10,1.922948
2023-05-11,1.935269
2023-05-12,1.958935
2023-05-15,1.968094
2023-05-16,1.98453
2023-05-17,1.987314
2023-05-18,2.002794
2023-05-19,2.010258
2023-05-22,2.016462
2023-05-23,2.019429
2023-05-24,2.023532
2023-05-29,2.032165
2023-05-30,2.034963
2023-05-31,2.051382
2023-06-01,2.060653
2023-06-02,2.07668
2023-06-05,2.080435
2023-06-06,2.080509
2023-06-07,2.085019
2023-06-08,2.096206
2023-06-09,2.105831
2023-06-12,2.11308
2023-06-13,2.117008
2023-06-14,2.121994
2023-06-15,2.131157
2023-06-16,2.142257
2023-06-21,2.151456
2023-06-22,2.158454
2023-06-23,2.173813
2023-06-26,2.170804
2023-06-27,2.197942
2023-06-28,2.199512
2023-06-29,2.205889
2023-06-30,2.223195
2023-07-03,2.232255
2023-07-04,2.241045
2023-07-05,2.23964
2023-07-06,2.236627
2023-07-07,2.248341
2023-07-10,2.252669
2023-07-11,2.256958
2023-07-12,2.262153
2023-07-13,2.27728
2023-07-14,2.293791
2023-07-17,2.292865
2023-07-18,2.292426
2023-07-19,2.290861
2023-07-20,2.297731
2023-07-21,2.30872
2023-07-24,2.310791
2023-07-25,2.318816
2023-07-26,2.322063
2023-07-27,2.328067
2023-07-28,2.337892
2023-07-31,2.346826
2023-08-01,2.358424
2023-08-02,2.369887
2023-08-03,2.37803
2023-08-04,2.402063
2023-08-07,2.415876
2023-08-08,2.424522
2023-08-09,2.421228
2023-08-10,2.429096
2023-08-11,2.441066
2023-08-14,2.545237
2023-08-15,2.584388
